t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0026,approach,2,to_lo,0.08526,0.02041,0.03605,1.58637,0.02689,-0.05550,-0.00324,-0.0024,-0.0024,-0.0024,-0.0073,0.0073,0.0073,0.0073,-0.0479,-0.0068,-0.0068,-0.0122,0.0024,-0.0024,-0.0122,1,1,1,1,1,1,1
0.0428,approach,2,to_lo,0.08526,0.02041,0.03605,1.58637,0.02689,-0.05550,-0.00324,-0.0024,-0.0024,-0.0024,0.0073,-0.0073,-0.0220,-0.0220,-0.0342,0.0068,-0.0205,-0.0024,-0.0024,-0.0024,-0.0122,1,1,1,1,1,1,1
0.0826,approach,2,to_lo,0.08526,0.02041,0.03605,1.58637,0.02689,-0.05550,-0.00324,-0.0024,-0.0024,-0.0024,0.0073,-0.0073,-0.0220,-0.0220,-0.0342,0.0068,-0.0205,-0.0024,-0.0024,-0.0024,-0.0122,1,1,1,1,1,1,1
0.1227,approach,2,to_lo,0.08526,0.02804,0.03605,1.58331,0.02689,-0.05550,-0.00324,0.0024,0.1197,-0.0024,-0.0366,-0.0073,0.0220,0.0073,-0.0479,2.2496,-0.0205,-0.0904,-0.0024,-0.0122,-0.0073,1,1,1,1,1,1,1
0.1628,approach,2,to_lo,0.08526,0.02804,0.03605,1.58331,0.02689,-0.05550,-0.00324,0.0024,0.1197,-0.0024,-0.0366,-0.0073,0.0220,0.0073,-0.0479,2.2496,-0.0205,-0.0904,-0.0024,-0.0122,-0.0073,1,1,1,1,1,1,1
0.2025,approach,2,to_lo,0.08526,0.02804,0.03605,1.58331,0.02689,-0.05550,-0.00324,0.0024,0.1197,-0.0024,-0.0366,-0.0073,0.0220,0.0073,-0.0479,2.2496,-0.0205,-0.0904,-0.0024,-0.0122,-0.0073,1,1,1,1,1,1,1
0.2422,approach,2,to_lo,0.08526,0.03986,0.03605,1.57988,0.02651,-0.05550,-0.00362,-0.0024,0.0952,-0.0024,-0.0366,-0.0220,-0.0073,-0.0073,-0.0615,4.9299,-0.0068,-0.3394,-0.0073,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,0.08526,0.03986,0.03605,1.57988,0.02651,-0.05550,-0.00362,-0.0024,0.0952,-0.0024,-0.0366,-0.0220,-0.0073,-0.0073,-0.0615,4.9299,-0.0068,-0.3394,-0.0073,-0.0122,-0.0122,1,1,1,1,1,1,1
0.3224,approach,2,to_lo,0.08526,0.05131,0.03605,1.57530,0.02689,-0.05550,-0.00362,-0.0024,0.0708,-0.0024,-0.0659,-0.0073,-0.0073,-0.0073,-0.0615,5.9009,-0.0342,-0.3590,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.3624,approach,2,to_lo,0.08526,0.05131,0.03605,1.57530,0.02689,-0.05550,-0.00362,-0.0024,0.0708,-0.0024,-0.0659,-0.0073,-0.0073,-0.0073,-0.0752,5.9009,-0.0342,-0.3590,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.4025,approach,2,to_lo,0.08526,0.05131,0.03605,1.57530,0.02689,-0.05550,-0.00362,-0.0024,0.0708,-0.0024,-0.0659,-0.0073,-0.0073,-0.0073,-0.0752,5.9009,-0.0342,-0.3590,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
