t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0026,approach,2,to_lo,0.02728,-0.01431,2.16583,-0.05703,-0.05283,0.00286,-0.00362,-0.0024,0.0024,-0.0024,0.0220,0.0073,0.0073,-0.0073,-0.0068,0.0205,-0.8000,-0.0464,-0.0122,-0.0073,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,0.02728,-0.01659,2.16964,-0.03605,-0.05283,0.00286,-0.00324,-0.0024,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.0068,2.5094,-5.8598,-1.5995,-0.0171,-0.0122,-0.0122,1,1,1,1,1,1,1
0.0824,approach,2,to_lo,0.02728,-0.01659,2.16964,-0.03605,-0.05283,0.00286,-0.00324,-0.0024,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.0068,2.5094,-5.8598,-1.5995,-0.0171,-0.0122,-0.0122,1,1,1,1,1,1,1
0.1223,approach,2,to_lo,0.02728,-0.00668,2.16964,-0.04063,-0.05283,0.00286,-0.00362,-0.0024,0.1685,0.0024,-0.1245,0.0073,0.0073,-0.0073,-0.0205,7.0496,-6.5436,-1.9463,-0.0171,-0.0122,-0.0171,1,1,1,1,1,1,1
0.1624,approach,2,to_lo,0.02728,-0.00668,2.16964,-0.04063,-0.05283,0.00286,-0.00362,-0.0024,0.1685,0.0024,-0.1245,0.0073,0.0073,-0.0073,-0.0205,7.0496,-6.5436,-1.9463,-0.0171,-0.0122,-0.0171,1,1,1,1,1,1,1
0.2026,approach,2,to_lo,0.02728,-0.00668,2.16964,-0.04063,-0.05283,0.00286,-0.00362,-0.0024,0.1685,0.0024,-0.1245,0.0073,0.0073,-0.0073,-0.0205,7.0496,-6.5436,-1.9463,-0.0171,-0.0122,-0.0171,1,1,1,1,1,1,1
0.2427,approach,2,to_lo,0.02728,0.00744,2.16964,-0.05207,-0.05283,0.00286,-0.00324,0.0024,0.1197,-0.0024,-0.0659,-0.0073,-0.0073,-0.0220,-0.0205,13.6684,-7.6239,-1.6777,-0.0269,-0.0073,-0.0122,1,1,1,1,1,1,1
0.2828,approach,2,to_lo,0.02728,0.00744,2.16964,-0.05207,-0.05283,0.00286,-0.00324,0.0024,0.1197,-0.0024,-0.0659,-0.0073,-0.0073,-0.0220,-0.0205,13.6684,-7.6239,-1.6777,-0.0269,-0.0073,-0.0122,1,1,1,1,1,1,1
0.3227,approach,2,to_lo,0.02728,0.01507,2.16964,-0.05398,-0.05283,0.00286,-0.00362,-0.0024,0.0562,-0.0024,-0.0366,0.0073,-0.0073,-0.0073,-0.0479,19.0291,-8.2530,-1.7363,-0.0317,-0.0073,-0.0122,1,1,1,1,1,1,1
0.3625,approach,2,to_lo,0.02728,0.01507,2.16964,-0.05398,-0.05283,0.00286,-0.00362,-0.0024,0.0562,-0.0024,-0.0366,0.0073,-0.0073,-0.0073,-0.0479,19.0291,-8.2530,-1.7363,-0.0317,-0.0073,-0.0122,1,1,1,1,1,1,1
0.4025,approach,2,to_lo,0.02728,0.01507,2.16964,-0.05398,-0.05283,0.00286,-0.00362,-0.0024,0.0562,-0.0024,-0.0366,0.0073,-0.0073,-0.0073,-0.0479,19.0291,-8.2530,-1.7363,-0.0317,-0.0073,-0.0122,1,1,1,1,1,1,1
