t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0023,approach,4,to_lo,0.04635,-0.03834,1.42920,0.07267,0.01850,0.26646,-0.00324,-0.0024,-0.0073,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0342,-0.0068,-0.0479,0.0024,0.0024,-0.0024,-0.0073,1,1,1,1,1,1,1
0.0423,approach,4,to_lo,0.04635,-0.03834,1.42920,0.07267,0.01850,0.26646,-0.00324,-0.0024,-0.0073,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0342,-0.0068,-0.0479,0.0024,0.0024,-0.0024,-0.0073,1,1,1,1,1,1,1
0.0824,approach,4,to_lo,0.04635,-0.03834,1.42920,0.07267,0.01850,0.26646,-0.00324,-0.0024,-0.0073,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0342,-0.0068,-0.0479,0.0024,0.0024,-0.0024,-0.0073,1,1,1,1,1,1,1
0.1223,approach,4,to_lo,0.04635,-0.03719,1.43072,0.06619,0.02117,0.26646,-0.00324,-0.0024,0.0220,0.0024,-0.1978,-0.0073,-0.0073,-0.0073,-0.3077,2.5778,-1.7709,-0.5641,-0.1783,0.0073,-0.0122,1,1,1,1,1,1,1
0.1624,approach,4,to_lo,0.04635,-0.03719,1.43072,0.06619,0.02117,0.26646,-0.00324,-0.0024,0.0220,0.0024,-0.1978,-0.0073,-0.0073,-0.0073,-0.3077,2.5778,-1.7709,-0.5641,-0.1783,0.0073,-0.0122,1,1,1,1,1,1,1
0.2029,approach,4,to_lo,0.04635,-0.03452,1.43072,0.04940,0.02041,0.26646,-0.00362,-0.0024,0.0317,-0.0024,-0.2711,-0.0073,-0.0073,-0.0073,-0.3487,4.0821,-2.0034,-0.4567,-0.1978,0.0073,-0.0122,1,1,1,1,1,1,1
0.2423,approach,4,to_lo,0.04635,-0.03452,1.43072,0.04940,0.02041,0.26646,-0.00362,-0.0024,0.0317,-0.0024,-0.2711,-0.0073,-0.0073,-0.0073,-0.3487,4.0821,-2.0034,-0.4567,-0.1978,0.0073,-0.0122,1,1,1,1,1,1,1
0.2824,approach,4,to_lo,0.04635,-0.03452,1.43072,0.04940,0.02041,0.26646,-0.00362,-0.0024,0.0317,-0.0024,-0.2711,-0.0073,-0.0073,-0.0073,-0.3487,4.0821,-2.0034,-0.4567,-0.1978,0.0073,-0.0122,1,1,1,1,1,1,1
0.3225,approach,4,to_lo,0.04635,-0.02995,1.43034,0.02308,0.01965,0.26646,-0.00324,-0.0024,0.0220,-0.0073,-0.2564,-0.0220,-0.0073,-0.0073,-0.3624,4.7111,-2.0308,-0.3053,-0.1978,0.0024,-0.0122,1,1,1,1,1,1,1
0.3633,approach,4,to_lo,0.04635,-0.02995,1.43034,0.02308,0.01965,0.26646,-0.00324,-0.0024,0.0220,-0.0073,-0.2564,-0.0220,-0.0073,-0.0073,-0.3624,4.7111,-2.0308,-0.3053,-0.1978,0.0024,-0.0122,1,1,1,1,1,1,1
0.4024,approach,4,to_lo,0.04635,-0.02689,1.43034,0.00858,0.01888,0.26646,-0.00324,-0.0024,0.0562,-0.0024,-0.1685,-0.0220,-0.0073,-0.0073,-0.3897,4.8205,-2.2222,-0.4225,-0.1832,0.0024,-0.0122,1,1,1,1,1,1,1
0.4424,approach,4,to_lo,0.04635,-0.02689,1.43034,0.00858,0.01888,0.26646,-0.00324,-0.0024,0.0562,-0.0024,-0.1685,-0.0220,-0.0073,-0.0073,-0.3897,4.8205,-2.2222,-0.4225,-0.1832,0.0024,-0.0122,1,1,1,1,1,1,1
0.4823,approach,4,to_lo,0.04635,-0.02689,1.43034,0.00858,0.01888,0.26646,-0.00324,-0.0024,0.0562,-0.0024,-0.1685,-0.0220,-0.0073,-0.0073,-0.3897,4.8205,-2.2222,-0.4225,-0.1832,0.0024,-0.0122,1,1,1,1,1,1,1
0.5223,approach,4,to_lo,0.04635,-0.02346,1.42996,-0.01621,0.01850,0.26646,-0.00324,-0.0122,0.0366,-0.0073,-0.1831,0.0073,-0.0220,0.0073,-0.4308,5.5453,-1.8393,-0.3443,-0.1587,0.0024,-0.0171,1,1,1,1,1,1,1
