t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0026,approach,2,to_lo,0.08602,-0.00095,1.14004,1.60964,-0.05322,-0.28477,-0.00324,-0.0024,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0073,0.0889,0.0342,-0.0205,-0.0073,-0.0171,-0.0024,-0.0073,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,0.08602,-0.00095,1.14004,1.60964,-0.05322,-0.28477,-0.00324,-0.0024,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0073,0.0889,0.0342,-0.0205,-0.0073,-0.0171,-0.0024,-0.0073,1,1,1,1,1,1,1
0.0826,approach,2,to_lo,0.08602,0.00210,1.14080,1.60811,-0.05322,-0.28477,-0.00324,-0.0024,0.0659,-0.0024,-0.0806,-0.0073,-0.0073,-0.0073,0.1846,2.4821,-0.5402,-0.3150,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1226,approach,2,to_lo,0.08602,0.00210,1.14080,1.60811,-0.05322,-0.28477,-0.00324,-0.0024,0.0659,-0.0024,-0.0806,-0.0073,-0.0073,-0.0073,0.1846,2.4821,-0.5402,-0.3150,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1625,approach,2,to_lo,0.08602,0.00210,1.14080,1.60811,-0.05322,-0.28477,-0.00324,-0.0024,0.0659,-0.0024,-0.0806,-0.0073,-0.0073,-0.0073,0.1846,2.4821,-0.5402,-0.3150,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.2025,approach,2,to_lo,0.08602,0.01812,1.14080,1.59323,-0.05283,-0.28477,-0.00324,-0.0073,0.1050,-0.0024,-0.1099,-0.0073,0.0073,-0.0220,0.1709,4.9709,-0.7590,-0.7009,-0.0171,-0.0073,-0.0024,1,1,1,1,1,1,1
0.2423,approach,2,to_lo,0.08602,0.01812,1.14080,1.59323,-0.05283,-0.28477,-0.00324,-0.0073,0.1050,-0.0024,-0.1099,-0.0073,0.0073,-0.0220,0.1709,4.9709,-0.7590,-0.7009,-0.0171,-0.0073,-0.0024,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,0.08602,0.02651,1.14080,1.58637,-0.05283,-0.28477,-0.00324,0.0024,0.0904,-0.0024,-0.0513,0.0073,0.0073,-0.0073,0.1436,7.8701,-0.8547,-0.7985,-0.0220,-0.0073,0.0024,1,1,1,1,1,1,1
0.3224,approach,2,to_lo,0.08602,0.02651,1.14080,1.58637,-0.05283,-0.28477,-0.00324,0.0024,0.0904,-0.0024,-0.0513,0.0073,0.0073,-0.0073,0.1436,7.8701,-0.8547,-0.7985,-0.0220,-0.0073,0.0024,1,1,1,1,1,1,1
0.3624,approach,2,to_lo,0.08602,0.02651,1.14080,1.58637,-0.05283,-0.28477,-0.00324,0.0024,0.0904,-0.0024,-0.0513,0.0073,0.0073,-0.0073,0.1436,7.8701,-0.8547,-0.7985,-0.0220,-0.0073,0.0024,1,1,1,1,1,1,1
0.4023,approach,2,to_lo,0.08602,0.03758,1.14080,1.58026,-0.05283,-0.28477,-0.00324,-0.0024,0.0952,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,0.1573,11.7402,-1.0051,-0.9695,-0.0317,-0.0024,-0.0024,1,1,1,1,1,1,1
0.4427,approach,2,to_lo,0.08602,0.03758,1.14080,1.58026,-0.05283,-0.28477,-0.00324,-0.0024,0.0952,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,0.1573,11.7402,-1.0051,-0.9695,-0.0317,-0.0024,-0.0024,1,1,1,1,1,1,1
