t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0026,approach,2,to_lo,0.07191,0.00095,1.73857,-0.30613,-0.13256,0.60216,-0.00362,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.0073,-0.0205,0.0752,-1.2786,0.0611,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,0.07191,0.00095,1.73857,-0.30613,-0.13256,0.60216,-0.00362,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.0073,-0.0205,0.0752,-1.2786,0.0611,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0824,approach,2,to_lo,0.07191,0.00095,1.73857,-0.30613,-0.13256,0.60216,-0.00362,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.0073,-0.0205,0.0752,-1.2786,0.0611,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1225,approach,2,to_lo,0.07191,0.00858,1.73934,-0.30537,-0.13218,0.60216,-0.00362,0.0024,0.1392,-0.0024,-0.0073,-0.0220,0.0073,-0.0220,-0.0752,4.8342,-2.4684,0.0757,-0.0317,-0.0122,-0.0024,1,1,1,1,1,1,1
0.1623,approach,2,to_lo,0.07191,0.00858,1.73934,-0.30537,-0.13218,0.60216,-0.00362,0.0024,0.1392,-0.0024,-0.0073,-0.0220,0.0073,-0.0220,-0.0752,4.8342,-2.4684,0.0757,-0.0317,-0.0122,-0.0024,1,1,1,1,1,1,1
0.2024,approach,2,to_lo,0.07191,0.01812,1.73934,-0.30537,-0.13218,0.60216,-0.00362,-0.0024,0.0952,-0.0024,-0.0220,0.0073,0.0073,-0.0073,-0.0752,7.1316,-2.7966,0.0952,-0.0366,-0.0122,-0.0073,1,1,1,1,1,1,1
0.2428,approach,2,to_lo,0.07191,0.01812,1.73934,-0.30537,-0.13218,0.60216,-0.00362,-0.0024,0.0952,-0.0024,-0.0220,0.0073,0.0073,-0.0073,-0.0752,7.1316,-2.7966,0.0952,-0.0366,-0.0122,-0.0073,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,0.07191,0.01812,1.73934,-0.30537,-0.13218,0.60216,-0.00362,-0.0024,0.0952,-0.0024,-0.0220,0.0073,0.0073,-0.0073,-0.0752,7.1316,-2.7966,0.0952,-0.0366,-0.0122,-0.0073,1,1,1,1,1,1,1
0.3224,approach,2,to_lo,0.07191,0.03033,1.73934,-0.30461,-0.13218,0.60216,-0.00362,-0.0024,0.0757,-0.0024,0.0073,-0.0073,-0.0220,-0.0220,-0.1026,11.7128,-3.2479,0.1197,-0.0415,-0.0122,-0.0122,1,1,1,1,1,1,1
0.3623,approach,2,to_lo,0.07191,0.03033,1.73934,-0.30461,-0.13218,0.60216,-0.00362,-0.0024,0.0757,-0.0024,0.0073,-0.0073,-0.0220,-0.0220,-0.1026,11.7128,-3.2479,0.1197,-0.0415,-0.0122,-0.0122,1,1,1,1,1,1,1
0.4022,approach,2,to_lo,0.07191,0.03758,1.73896,-0.30461,-0.13218,0.60178,-0.00362,0.0024,0.1197,-0.0024,0.0073,-0.0073,-0.0220,0.0073,-0.1026,14.2838,-3.4940,0.1441,-0.0415,-0.0122,-0.0122,1,1,1,1,1,1,1
