t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0027,approach,4,to_lo,0.02041,-0.00782,1.44217,-2.21542,-0.01850,0.00477,-0.00324,-0.0073,-0.0024,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0068,-0.0342,0.0068,0.0024,-0.0073,-0.0171,0.0073,1,1,1,1,1,1,1
0.0425,approach,4,to_lo,0.02041,-0.00782,1.44217,-2.21542,-0.01850,0.00477,-0.00324,-0.0073,-0.0024,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0068,-0.0342,0.0068,0.0024,-0.0073,-0.0171,0.0073,1,1,1,1,1,1,1
0.0826,approach,4,to_lo,0.02041,-0.00782,1.44217,-2.21389,-0.01850,0.00515,-0.00362,-0.0073,-0.0024,-0.0024,0.0659,-0.0220,-0.0220,-0.0073,-0.0615,0.1436,0.0068,0.2759,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.1223,approach,4,to_lo,0.02041,-0.00782,1.44217,-2.21389,-0.01850,0.00515,-0.00362,-0.0073,-0.0024,-0.0024,0.0659,-0.0220,-0.0220,-0.0073,-0.0615,0.1436,0.0068,0.2759,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.1627,approach,4,to_lo,0.02041,-0.00782,1.44217,-2.21389,-0.01850,0.00515,-0.00362,-0.0073,-0.0024,-0.0024,0.0659,-0.0220,-0.0220,-0.0073,-0.0615,0.1436,0.0068,0.2759,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.2025,approach,4,to_lo,0.02041,-0.00744,1.44217,-2.19482,-0.01926,0.00515,-0.00324,0.0024,0.0024,-0.0024,0.1831,-0.0073,-0.0220,-0.0073,-0.0615,0.9094,-0.0205,0.6813,0.0171,-0.0073,-0.0073,1,1,1,1,1,1,1
0.2426,approach,4,to_lo,0.02041,-0.00744,1.44217,-2.19482,-0.01926,0.00515,-0.00324,0.0024,0.0024,-0.0024,0.1831,-0.0073,-0.0220,-0.0073,-0.0615,0.9094,-0.0205,0.6813,0.0171,-0.0073,-0.0073,1,1,1,1,1,1,1
0.2826,approach,4,to_lo,0.02041,-0.00706,1.44217,-2.18605,-0.01965,0.00515,-0.00324,0.0024,0.0073,-0.0024,0.0513,-0.0073,-0.0220,-0.0073,-0.1026,1.2376,-0.0068,1.2381,0.0415,-0.0073,-0.0073,1,1,1,1,1,1,1
0.3224,approach,4,to_lo,0.02041,-0.00706,1.44217,-2.18605,-0.01965,0.00515,-0.00324,0.0024,0.0073,-0.0024,0.0513,-0.0073,-0.0220,-0.0073,-0.1026,1.2376,-0.0068,1.2381,0.0415,-0.0073,-0.0073,1,1,1,1,1,1,1
0.3624,approach,4,to_lo,0.02041,-0.00706,1.44217,-2.18605,-0.01965,0.00515,-0.00324,0.0024,0.0073,-0.0024,0.0513,-0.0073,-0.0220,-0.0073,-0.1026,1.2376,-0.0068,1.2381,0.0415,-0.0073,-0.0073,1,1,1,1,1,1,1
0.4024,approach,4,to_lo,0.02041,-0.00629,1.44217,-2.17498,-0.01926,0.00515,-0.00362,-0.0024,0.0073,-0.0024,0.1392,-0.0073,-0.0073,-0.0220,-0.1299,1.6889,-0.0068,2.2491,0.0366,0.0024,-0.0073,1,1,1,1,1,1,1
0.4424,approach,4,to_lo,0.02041,-0.00629,1.44217,-2.17498,-0.01926,0.00515,-0.00362,-0.0024,0.0073,-0.0024,0.1392,-0.0073,-0.0073,-0.0220,-0.1299,1.6889,-0.0068,2.2491,0.0366,0.0024,-0.0073,1,1,1,1,1,1,1
0.4823,approach,4,to_lo,0.02041,-0.00553,1.44217,-2.15591,-0.01926,0.00515,-0.00324,-0.0073,0.0024,-0.0073,0.1099,-0.0073,-0.0073,0.0073,-0.1299,1.8530,-0.0068,2.0342,0.0415,-0.0024,-0.0073,1,1,1,1,1,1,1
0.5225,approach,4,to_lo,0.02041,-0.00553,1.44217,-2.15591,-0.01926,0.00515,-0.00324,-0.0073,0.0024,-0.0073,0.1099,-0.0073,-0.0073,0.0073,-0.1299,1.8530,-0.0068,2.0342,0.0415,-0.0024,-0.0073,1,1,1,1,1,1,1
0.5626,approach,4,to_lo,0.02041,-0.00553,1.44217,-2.15591,-0.01926,0.00515,-0.00324,-0.0073,0.0024,-0.0073,0.1099,-0.0073,-0.0073,0.0073,-0.1299,1.8530,-0.0068,2.0342,0.0415,-0.0024,-0.0073,1,1,1,1,1,1,1
0.6026,approach,4,to_lo,0.02041,-0.00515,1.44217,-2.13264,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0024,0.1978,0.0073,-0.0073,-0.0073,-0.1436,2.2085,-0.0068,2.0635,0.0415,-0.0024,-0.0122,1,1,1,1,1,1,1
0.6427,approach,4,to_lo,0.02041,-0.00515,1.44217,-2.13264,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0024,0.1978,0.0073,-0.0073,-0.0073,-0.1436,2.2085,-0.0068,2.0635,0.0415,-0.0024,-0.0122,1,1,1,1,1,1,1
0.6826,approach,4,to_lo,0.02041,-0.00477,1.44217,-2.11967,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0073,0.1978,-0.0073,-0.0073,-0.0220,-0.1573,2.4274,0.0205,2.3272,0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.7223,approach,4,to_lo,0.02041,-0.00477,1.44217,-2.11967,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0073,0.1978,-0.0073,-0.0073,-0.0220,-0.1573,2.4274,0.0205,2.3272,0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.7623,approach,4,to_lo,0.02041,-0.00477,1.44217,-2.11967,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0073,0.1978,-0.0073,-0.0073,-0.0220,-0.1573,2.4274,0.0205,2.3272,0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.8025,approach,4,to_lo,0.02041,-0.00439,1.44217,-2.09602,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0024,0.0806,-0.0073,-0.0073,-0.0073,-0.1709,2.6872,0.0205,2.3370,0.0562,0.0024,-0.0073,1,1,1,1,1,1,1
0.8429,approach,4,to_lo,0.02041,-0.00439,1.44217,-2.09602,-0.01888,0.00515,-0.00324,-0.0024,0.0024,-0.0024,0.0806,-0.0073,-0.0073,-0.0073,-0.1709,2.6872,0.0205,2.3370,0.0562,0.0024,-0.0073,1,1,1,1,1,1,1
0.8824,approach,4,to_lo,0.02041,-0.00401,1.44217,-2.07771,-0.01888,0.00515,-0.00324,-0.0024,0.0073,-0.0024,0.2418,0.0073,0.0073,-0.0073,-0.1709,2.7829,-0.0068,2.1416,0.0562,-0.0024,-0.0073,1,1,1,1,1,1,1
0.9244,approach,4,to_lo,0.02041,-0.00401,1.44217,-2.07771,-0.01888,0.00515,-0.00324,-0.0024,0.0073,-0.0024,0.2418,0.0073,0.0073,-0.0073,-0.1709,2.7829,-0.0068,2.1416,0.0562,-0.0024,-0.0073,1,1,1,1,1,1,1
0.9628,approach,4,to_lo,0.02041,-0.00401,1.44217,-2.07771,-0.01888,0.00515,-0.00324,-0.0024,0.0073,-0.0024,0.2418,0.0073,0.0073,-0.0073,-0.1709,2.7829,-0.0068,2.1416,0.0562,-0.0024,-0.0073,1,1,1,1,1,1,1
1.0024,approach,4,to_lo,0.02041,-0.00362,1.44217,-2.05367,-0.01888,0.00515,-0.00324,-0.0024,-0.0024,0.0024,0.3150,-0.0366,-0.0220,-0.0073,-0.2120,3.0838,-0.0068,2.1074,0.0611,-0.0024,-0.0073,1,1,1,1,1,1,1
1.0425,approach,4,to_lo,0.02041,-0.00362,1.44217,-2.05367,-0.01888,0.00515,-0.00324,-0.0024,-0.0024,0.0024,0.3150,-0.0366,-0.0220,-0.0073,-0.2120,3.0838,-0.0068,2.1074,0.0611,-0.0024,-0.0073,1,1,1,1,1,1,1
1.0826,approach,4,to_lo,0.02041,-0.00324,1.44217,-2.04032,-0.01888,0.00515,-0.00324,0.0024,0.0073,-0.0024,0.1538,0.0073,-0.0073,-0.0073,-0.2120,3.0701,0.0205,2.3419,0.0611,-0.0024,-0.0024,1,1,1,1,1,1,1
