ts,step_idx,joint_index,target_user,actual_user,vel,torq,status_code,result
1781080137.7976797,1,4,0.02823086482504284,0.02460479736328125,-0.0024423599243164062,4.533332824707031,1,ok
1781080138.7709699,2,4,0.06313744986492943,0.06275272369384766,-0.0024423599243164062,5.955554962158203,1,ok
1781080139.7362258,3,4,0.09804403490481603,0.09784889221191406,-0.0024423599243164062,6.174358367919922,1,ok
1781080140.7035034,4,4,0.1329506199447026,0.13294410705566406,-0.0024423599243164062,5.764102935791016,1,ok
1781080141.6702182,5,4,0.1678572049845892,0.16765880584716797,0.0024423599243164062,5.982906341552734,1,ok
1781080142.6366103,6,4,0.2027637900244758,0.20199108123779297,0.0024423599243164062,6.4341888427734375,1,ok
1781080143.6016665,7,4,0.2376703750643624,0.23708724975585938,-0.0024423599243164062,6.160682678222656,1,ok
1781080144.568102,8,4,0.272576960104249,0.2725639343261719,-0.0073261260986328125,5.900856018066406,1,ok
1781080145.541145,9,4,0.30748354514413556,0.3068971633911133,-0.0024423599243164062,6.830768585205078,1,ok
1781080146.5069401,10,4,0.34239013018402215,0.3416109085083008,-0.0024423599243164062,6.461540222167969,1,ok
1781080147.4673498,11,4,0.37729671522390873,0.3774700164794922,-0.0024423599243164062,6.338462829589844,1,ok
1781080148.4310825,12,4,0.41220330026379537,0.4114217758178711,-0.0024423599243164062,6.981197357177734,1,ok
1781080149.3994925,13,4,0.44710988530368195,0.4472799301147461,-0.0024423599243164062,5.969230651855469,1,ok
1781080150.3638136,14,4,0.48201647034356854,0.48199462890625,0.0024423599243164062,6.229061126708984,1,ok
1781080151.33118,15,4,0.5169230553834551,0.516326904296875,-0.0024423599243164062,6.215385437011719,1,ok
1781080152.2957377,16,4,0.5518296404233417,0.5514230728149414,-0.0024423599243164062,5.4358978271484375,1,ok
1781080153.2668247,17,4,0.5867362254632283,0.5865182876586914,-0.0073261260986328125,4.834186553955078,1,ok
1781080154.2376676,18,4,0.6216428105031149,0.6212329864501953,0.0024423599243164062,4.984615325927734,1,ok
1781080155.2130494,19,4,0.6565493955430015,0.6559467315673828,0.0024423599243164062,4.5606842041015625,1,ok
1781080156.177944,20,4,0.691455980582888,0.6910429000854492,-0.0024423599243164062,4.423931121826172,1,ok
1781080157.1431336,21,4,0.7263625656227747,0.7253761291503906,0.0024423599243164062,4.588035583496094,1,ok
1781080158.1088734,22,4,0.7612691506626612,0.7608528137207031,-0.0024423599243164062,4.123077392578125,1,ok
1781080159.0785959,23,4,0.7961757357025478,0.7959489822387695,-0.0073261260986328125,3.8632469177246094,1,ok
1781080160.0475845,24,4,0.8310823207424345,0.830662727355957,0.0024423599243164062,4.0,1,ok
1781080161.013491,25,4,0.865988905782321,0.8653774261474609,-0.0024423599243164062,3.712820053100586,1,ok
1781080161.9755285,26,4,0.9008954908222077,0.9008541107177734,-0.0024423599243164062,3.3435897827148438,1,ok
1781080162.9387116,27,4,0.9358020758620942,0.9359502792358398,0.0024423599243164062,3.507692337036133,1,ok
1781080163.910721,28,4,0.9707086609019808,0.9702835083007812,-0.0024423599243164062,3.0700855255126953,1,ok
1781080164.8831003,29,4,1.0056152459418675,1.0053787231445312,0.0024423599243164062,2.919658660888672,1,ok
1781080165.854405,30,4,1.0405218309817539,1.0397119522094727,0.0024423599243164062,2.960683822631836,1,ok
1781080166.8064919,31,4,1.0754284160216405,1.0748071670532227,-0.0024423599243164062,2.454700469970703,1,ok
1781080167.7710772,32,4,1.1103350010615272,1.109903335571289,0.0024423599243164062,2.372650146484375,1,ok
1781080168.7355793,33,4,1.1452415861014138,1.1453800201416016,0.0024423599243164062,2.1811962127685547,1,ok
1781080169.7012186,34,4,1.1801481711413004,1.1793317794799805,-0.0024423599243164062,1.9760684967041016,1,ok
1781080170.667165,35,4,1.2150547561811869,1.2144269943237305,0.0024423599243164062,1.7025642395019531,1,ok
1781080171.6337183,36,4,1.2499613412210735,1.2495231628417969,0.0024423599243164062,1.7846145629882812,1,ok
1781080172.6001377,37,4,1.2848679262609601,1.2846193313598633,-0.0024423599243164062,1.3606834411621094,1,ok
1781080173.5701602,38,4,1.3197745113008468,1.3197145462036133,-0.0024423599243164062,1.0735034942626953,1,ok
1781080174.5324917,39,4,1.3546810963407332,1.3544292449951172,0.0024423599243164062,1.1965808868408203,1,ok
1781080175.4994678,40,4,1.3895876813806198,1.3891429901123047,-0.0024423599243164062,0.6769237518310547,1,ok
1781080176.4652138,41,4,1.4244942664205065,1.424239158630371,0.0024423599243164062,0.5675220489501953,1,ok
1781080177.4284246,42,4,1.4594008514603931,1.460097312927246,-0.0024423599243164062,0.33504295349121094,1,ok
1781080178.3945255,43,4,1.4943074365002798,1.49481201171875,0.0024423599243164062,-0.07521438598632812,1,ok
1781080179.3560338,44,4,1.5292140215401662,1.52838134765625,-0.0024423599243164062,-0.25299072265625,1,ok
1781080180.3181953,45,4,1.5641206065800528,1.5642404556274414,-0.0024423599243164062,-0.376068115234375,1,ok
1781080181.2872903,46,4,1.5990271916199394,1.5985736846923828,-0.0024423599243164062,0.33504295349121094,1,ok
1781080182.2507935,47,4,1.633933776659826,1.6298542022705078,-0.0073261260986328125,4.0547027587890625,1,ok
1781080183.2129567,48,4,1.6688403616997127,,,,,trip:torque
1781080191.239542,1,4,-0.03509731990316784,-0.034523963928222656,-0.0024423599243164062,-2.700855255126953,1,ok
1781080192.2051957,2,4,-0.07000390494305443,-0.06961917877197266,-0.0073261260986328125,-5.025640487670898,1,ok
1781080193.1694787,3,4,-0.10491048998294103,-0.10471534729003906,0.0024423599243164062,-6.4341888427734375,1,ok
1781080194.1333904,4,4,-0.1398170750228276,,,,,trip:torque
