t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0024,approach,2,to_lo,0.02041,0.00095,0.02995,1.58751,0.03376,0.17987,-0.00324,0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0342,-0.0068,-0.0068,-0.0024,-0.0024,-0.0171,-0.0024,1,1,1,1,1,1,1
0.0423,approach,2,to_lo,0.02041,0.00095,0.02995,1.58751,0.03376,0.17987,-0.00324,0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0342,-0.0068,-0.0068,-0.0024,-0.0024,-0.0171,-0.0024,1,1,1,1,1,1,1
0.0823,approach,2,to_lo,0.02041,0.00477,0.02995,1.58713,0.03414,0.17987,-0.00324,-0.0024,0.1099,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0068,1.5111,-0.0205,-0.1001,0.0073,-0.0122,-0.0024,1,1,1,1,1,1,1
0.1225,approach,2,to_lo,0.02041,0.00477,0.02995,1.58713,0.03414,0.17987,-0.00324,-0.0024,0.1099,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0068,1.5111,-0.0205,-0.1001,0.0073,-0.0122,-0.0024,1,1,1,1,1,1,1
0.1624,approach,2,to_lo,0.02041,0.01621,0.02995,1.58255,0.03376,0.17987,-0.00324,-0.0024,0.1148,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0205,2.0855,-0.0479,-0.2222,0.0073,-0.0171,-0.0024,1,1,1,1,1,1,1
0.2027,approach,2,to_lo,0.02041,0.01621,0.02995,1.58255,0.03376,0.17987,-0.00324,-0.0024,0.1148,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0205,2.0855,-0.0479,-0.2222,0.0073,-0.0171,-0.0024,1,1,1,1,1,1,1
0.2426,approach,2,to_lo,0.02041,0.01621,0.02995,1.58255,0.03376,0.17987,-0.00324,-0.0024,0.1148,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0205,2.0855,-0.0479,-0.2222,0.0073,-0.0171,-0.0024,1,1,1,1,1,1,1
0.2823,approach,2,to_lo,0.02041,0.03033,0.02995,1.57874,0.03376,0.17987,-0.00324,-0.0024,0.1197,-0.0024,-0.0366,-0.0073,-0.0073,-0.0073,-0.0068,4.4513,-0.0342,-0.4371,0.0024,-0.0122,-0.0024,1,1,1,1,1,1,1
0.3225,approach,2,to_lo,0.02041,0.03033,0.02995,1.57874,0.03376,0.17987,-0.00324,-0.0024,0.1197,-0.0024,-0.0366,-0.0073,-0.0073,-0.0073,-0.0068,4.4513,-0.0342,-0.4371,0.0024,-0.0122,-0.0024,1,1,1,1,1,1,1
0.3627,approach,2,to_lo,0.02041,0.03872,0.02995,1.57530,0.03376,0.17987,-0.00324,-0.0024,0.1197,-0.0024,-0.0513,-0.0073,-0.0220,-0.0073,-0.0205,5.2581,-0.0205,-0.3883,-0.0122,-0.0122,-0.0073,1,1,1,1,1,1,1
0.4025,approach,2,to_lo,0.02041,0.03872,0.02995,1.57530,0.03376,0.17987,-0.00324,-0.0024,0.1197,-0.0024,-0.0513,-0.0073,-0.0220,-0.0073,-0.0205,5.2581,-0.0205,-0.3883,-0.0122,-0.0122,-0.0073,1,1,1,1,1,1,1
0.4426,approach,2,to_lo,0.02041,0.03872,0.02995,1.57530,0.03376,0.17987,-0.00324,-0.0024,0.1197,-0.0024,-0.0513,-0.0073,-0.0220,-0.0073,-0.0205,5.2581,-0.0205,-0.3883,-0.0122,-0.0122,-0.0073,1,1,1,1,1,1,1
0.4823,approach,2,to_lo,0.02041,0.05055,0.02995,1.57225,0.03376,0.17987,-0.00362,-0.0024,0.0855,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,0.0068,5.6684,-0.0479,-0.2857,-0.0171,-0.0171,-0.0073,1,1,1,1,1,1,1
0.5225,approach,2,to_lo,0.02041,0.05055,0.02995,1.57225,0.03376,0.17987,-0.00362,-0.0024,0.0855,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,0.0068,5.6684,-0.0479,-0.2857,-0.0171,-0.0171,-0.0073,1,1,1,1,1,1,1
0.5624,approach,2,to_lo,0.02041,0.05818,0.02995,1.57149,0.03376,0.17987,-0.00324,-0.0073,0.0904,-0.0073,-0.0220,-0.0073,0.0073,-0.0073,-0.0068,5.3538,-0.0479,-0.2662,-0.0220,-0.0171,-0.0073,1,1,1,1,1,1,1
0.6023,approach,2,to_lo,0.02041,0.05818,0.02995,1.57149,0.03376,0.17987,-0.00324,-0.0073,0.0904,-0.0073,-0.0220,-0.0073,0.0073,-0.0073,-0.0068,5.3538,-0.0479,-0.2662,-0.0220,-0.0171,-0.0073,1,1,1,1,1,1,1
0.6424,approach,2,to_lo,0.02041,0.05818,0.02995,1.57149,0.03376,0.17987,-0.00324,-0.0073,0.0904,-0.0073,-0.0220,-0.0073,0.0073,-0.0073,-0.0068,5.3538,-0.0479,-0.2662,-0.0220,-0.0171,-0.0073,1,1,1,1,1,1,1
0.6824,approach,2,to_lo,0.02041,0.06733,0.02995,1.57149,0.03376,0.17987,-0.00324,-0.0024,0.0806,-0.0073,-0.0073,0.0073,-0.0073,-0.0073,-0.0068,5.6410,-0.0479,-0.2955,-0.0220,-0.0171,-0.0073,1,1,1,1,1,1,1
0.7224,approach,2,to_lo,0.02041,0.06733,0.02995,1.57149,0.03376,0.17987,-0.00324,-0.0024,0.0806,-0.0073,-0.0073,0.0073,-0.0073,-0.0073,-0.0068,5.6410,-0.0479,-0.2955,-0.0220,-0.0171,-0.0073,1,1,1,1,1,1,1
0.7624,approach,2,to_lo,0.02041,0.07267,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0708,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0068,5.3265,-0.0752,-0.2320,-0.0269,-0.0171,-0.0073,1,1,1,1,1,1,1
0.8023,approach,2,to_lo,0.02041,0.07267,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0708,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0068,5.3265,-0.0752,-0.2320,-0.0269,-0.0171,-0.0073,1,1,1,1,1,1,1
0.8424,approach,2,to_lo,0.02041,0.07267,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0708,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0068,5.3265,-0.0752,-0.2320,-0.0269,-0.0171,-0.0073,1,1,1,1,1,1,1
0.8825,approach,2,to_lo,0.02041,0.07992,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0659,0.0024,-0.0073,0.0073,0.0073,-0.0220,-0.0068,5.5453,-0.0889,-0.1929,-0.0269,-0.0220,-0.0024,1,1,1,1,1,1,1
0.9223,approach,2,to_lo,0.02041,0.07992,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0659,0.0024,-0.0073,0.0073,0.0073,-0.0220,-0.0068,5.5453,-0.0889,-0.1929,-0.0269,-0.0220,-0.0024,1,1,1,1,1,1,1
0.9624,approach,2,to_lo,0.02041,0.08373,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0513,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.0068,5.8051,-0.1026,-0.1783,-0.0317,-0.0220,-0.0073,1,1,1,1,1,1,1
1.0023,approach,2,to_lo,0.02041,0.08373,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0513,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.0068,5.8051,-0.1026,-0.1783,-0.0317,-0.0220,-0.0073,1,1,1,1,1,1,1
1.0424,approach,2,to_lo,0.02041,0.08373,0.02995,1.57034,0.03376,0.17987,-0.00324,-0.0024,0.0513,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.0068,5.8051,-0.1026,-0.1783,-0.0317,-0.0220,-0.0073,1,1,1,1,1,1,1
