t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0025,approach,2,to_lo,-0.00591,0.01392,0.00019,1.58408,0.08297,0.01125,-0.00095,-0.0024,-0.0073,-0.0024,-0.0073,-0.0366,-0.0220,-0.0073,-0.0068,-0.0068,-0.0342,0.0122,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0425,approach,2,to_lo,-0.00591,0.01392,0.00019,1.58408,0.08335,0.01125,-0.00095,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0205,-0.1026,-0.0342,-0.0073,-0.0073,-0.0073,-0.0073,1,1,1,1,1,1,1
0.0823,approach,2,to_lo,-0.00591,0.01392,0.00019,1.58408,0.08335,0.01125,-0.00095,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0205,-0.1026,-0.0342,-0.0073,-0.0073,-0.0073,-0.0073,1,1,1,1,1,1,1
0.1224,approach,2,to_lo,-0.00591,0.02193,0.00019,1.58408,0.08335,0.01125,-0.00095,-0.0073,0.1050,-0.0024,-0.0073,0.0220,-0.0073,0.0073,-0.0205,2.1949,-0.0342,-0.0757,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.1623,approach,2,to_lo,-0.00591,0.02193,0.00019,1.58408,0.08335,0.01125,-0.00095,-0.0073,0.1050,-0.0024,-0.0073,0.0220,-0.0073,0.0073,-0.0205,2.1949,-0.0342,-0.0757,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2026,approach,2,to_lo,-0.00591,0.02193,0.00019,1.58408,0.08335,0.01125,-0.00095,-0.0073,0.1050,-0.0024,-0.0073,0.0220,-0.0073,0.0073,-0.0205,2.1949,-0.0342,-0.0757,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2423,approach,2,to_lo,-0.00591,0.03491,0.00019,1.58064,0.08335,0.01125,-0.00095,-0.0024,0.0904,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0479,4.9983,-0.0205,-0.5690,-0.0269,-0.0122,-0.0171,1,1,1,1,1,1,1
0.2824,approach,2,to_lo,-0.00591,0.03491,0.00019,1.58064,0.08335,0.01125,-0.00095,-0.0024,0.0904,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0479,4.9983,-0.0205,-0.5690,-0.0269,-0.0122,-0.0171,1,1,1,1,1,1,1
0.3223,approach,2,to_lo,-0.00591,0.04292,0.00019,1.57912,0.08335,0.01125,-0.00095,-0.0073,0.1099,-0.0024,-0.0513,-0.0073,-0.0073,-0.0073,-0.0752,5.7231,-0.0205,-0.7839,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.3624,approach,2,to_lo,-0.00591,0.04292,0.00019,1.57912,0.08335,0.01125,-0.00095,-0.0073,0.1099,-0.0024,-0.0513,-0.0073,-0.0073,-0.0073,-0.0752,5.7231,-0.0205,-0.7839,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.4024,approach,2,to_lo,-0.00591,0.04292,0.00019,1.57912,0.08335,0.01125,-0.00095,-0.0073,0.1099,-0.0024,-0.0513,-0.0073,-0.0073,-0.0073,-0.0752,5.7231,-0.0205,-0.7839,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.4426,approach,2,to_lo,-0.00591,0.05474,0.00019,1.57149,0.08335,0.01125,-0.00095,-0.0024,0.0757,-0.0024,0.0073,-0.0220,-0.0073,-0.0073,-0.0752,5.5179,-0.0342,-0.3834,-0.0415,-0.0269,-0.0122,1,1,1,1,1,1,1
0.4824,approach,2,to_lo,-0.00591,0.05474,0.00019,1.57149,0.08335,0.01125,-0.00095,-0.0024,0.0757,-0.0024,0.0073,-0.0220,-0.0073,-0.0073,-0.0752,5.5179,-0.0342,-0.3834,-0.0415,-0.0269,-0.0122,1,1,1,1,1,1,1
0.5224,approach,2,to_lo,-0.00591,0.06123,0.00019,1.57111,0.08335,0.01125,-0.00134,-0.0024,0.0659,0.0024,-0.0220,0.0073,-0.0073,-0.0220,-0.0615,5.6137,-0.0342,-0.3639,-0.0415,-0.0269,-0.0122,1,1,1,1,1,1,1
0.5624,approach,2,to_lo,-0.00591,0.06123,0.00019,1.57111,0.08335,0.01125,-0.00134,-0.0024,0.0659,0.0024,-0.0220,0.0073,-0.0073,-0.0220,-0.0615,5.6137,-0.0342,-0.3639,-0.0415,-0.0269,-0.0122,1,1,1,1,1,1,1
0.6023,approach,2,to_lo,-0.00591,0.06123,0.00019,1.57111,0.08335,0.01125,-0.00134,-0.0024,0.0659,0.0024,-0.0220,0.0073,-0.0073,-0.0220,-0.0615,5.6137,-0.0342,-0.3639,-0.0415,-0.0269,-0.0122,1,1,1,1,1,1,1
0.6423,approach,2,to_lo,-0.00591,0.06962,0.00019,1.56996,0.08335,0.01125,-0.00134,-0.0024,0.0464,0.0024,0.0220,-0.0073,-0.0073,-0.0220,-0.0889,6.1333,-0.0615,-0.2369,-0.0513,-0.0317,-0.0122,1,1,1,1,1,1,1
0.6827,approach,2,to_lo,-0.00591,0.06962,0.00019,1.56996,0.08335,0.01125,-0.00134,-0.0024,0.0464,0.0024,0.0220,-0.0073,-0.0073,-0.0220,-0.0889,6.1333,-0.0615,-0.2369,-0.0513,-0.0317,-0.0122,1,1,1,1,1,1,1
0.7226,approach,2,to_lo,-0.00591,0.07496,0.00019,1.57073,0.08297,0.01125,-0.00095,-0.0024,0.0513,0.0024,-0.0366,-0.0220,-0.0073,-0.0073,-0.0889,5.8188,-0.0615,-0.3004,-0.0513,-0.0269,-0.0122,1,1,1,1,1,1,1
0.7624,approach,2,to_lo,-0.00591,0.07496,0.00019,1.57073,0.08297,0.01125,-0.00095,-0.0024,0.0513,0.0024,-0.0366,-0.0220,-0.0073,-0.0073,-0.0889,5.8188,-0.0615,-0.3004,-0.0513,-0.0269,-0.0122,1,1,1,1,1,1,1
0.8023,approach,2,to_lo,-0.00591,0.07496,0.00019,1.57073,0.08297,0.01125,-0.00095,-0.0024,0.0513,0.0024,-0.0366,-0.0220,-0.0073,-0.0073,-0.0889,5.8188,-0.0615,-0.3004,-0.0513,-0.0269,-0.0122,1,1,1,1,1,1,1
0.8424,approach,2,to_lo,-0.00591,0.08183,0.00019,1.57111,0.08335,0.01125,-0.00095,-0.0073,0.0757,-0.0024,-0.0366,0.0073,-0.0073,-0.0073,-0.1026,6.0239,-0.0479,-0.3443,-0.0562,-0.0317,-0.0122,1,1,1,1,1,1,1
0.8823,approach,2,to_lo,-0.00591,0.08183,0.00019,1.57111,0.08335,0.01125,-0.00095,-0.0073,0.0757,-0.0024,-0.0366,0.0073,-0.0073,-0.0073,-0.1026,6.0239,-0.0479,-0.3443,-0.0562,-0.0317,-0.0122,1,1,1,1,1,1,1
0.9227,approach,2,to_lo,-0.00591,0.08564,0.00019,1.57111,0.08335,0.01125,-0.00095,0.0024,0.0513,-0.0024,-0.0073,-0.0073,0.0073,-0.0073,-0.1026,6.2564,-0.0479,-0.3492,-0.0611,-0.0317,-0.0073,1,1,1,1,1,1,1
0.9623,approach,2,to_lo,-0.00591,0.08564,0.00019,1.57111,0.08335,0.01125,-0.00095,0.0024,0.0513,-0.0024,-0.0073,-0.0073,0.0073,-0.0073,-0.1026,6.2564,-0.0479,-0.3492,-0.0611,-0.0317,-0.0073,1,1,1,1,1,1,1
1.0024,approach,2,to_lo,-0.00591,0.08564,0.00019,1.57111,0.08335,0.01125,-0.00095,0.0024,0.0513,-0.0024,-0.0073,-0.0073,0.0073,-0.0073,-0.1026,6.2564,-0.0479,-0.3492,-0.0611,-0.0317,-0.0073,1,1,1,1,1,1,1
1.0423,approach,2,to_lo,-0.00591,0.09098,0.00019,1.57034,0.08335,0.01125,-0.00134,0.0024,0.0513,0.0024,-0.0073,0.0073,0.0073,-0.0220,-0.1162,5.7094,-0.0342,-0.3053,-0.0708,-0.0366,-0.0122,1,1,1,1,1,1,1
1.0823,approach,2,to_lo,-0.00591,0.09098,0.00019,1.57034,0.08335,0.01125,-0.00134,0.0024,0.0513,0.0024,-0.0073,0.0073,0.0073,-0.0220,-0.1162,5.7094,-0.0342,-0.3053,-0.0708,-0.0366,-0.0122,1,1,1,1,1,1,1
1.1222,approach,2,to_lo,-0.00591,0.09403,0.00019,1.56958,0.08297,0.01125,-0.00095,-0.0024,0.0220,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.1299,5.7504,-0.0342,-0.2418,-0.0708,-0.0317,-0.0122,1,1,1,1,1,1,1
1.1623,approach,2,to_lo,-0.00591,0.09403,0.00019,1.56958,0.08297,0.01125,-0.00095,-0.0024,0.0220,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.1299,5.7504,-0.0342,-0.2418,-0.0708,-0.0317,-0.0122,1,1,1,1,1,1,1
1.2024,approach,2,to_lo,-0.00591,0.09403,0.00019,1.56958,0.08297,0.01125,-0.00095,-0.0024,0.0220,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.1299,5.7504,-0.0342,-0.2418,-0.0708,-0.0317,-0.0122,1,1,1,1,1,1,1
1.2424,approach,2,to_lo,-0.00591,0.09785,0.00019,1.56920,0.08297,0.01125,-0.00134,0.0024,0.0220,-0.0073,-0.0073,-0.0073,-0.0220,-0.0073,-0.1162,5.7094,-0.0479,-0.1685,-0.0757,-0.0317,-0.0122,1,1,1,1,1,1,1
1.2824,approach,2,to_lo,-0.00591,0.09785,0.00019,1.56920,0.08297,0.01125,-0.00134,0.0024,0.0220,-0.0073,-0.0073,-0.0073,-0.0220,-0.0073,-0.1162,5.7094,-0.0479,-0.1685,-0.0757,-0.0317,-0.0122,1,1,1,1,1,1,1
1.3225,approach,2,to_lo,-0.00591,0.10014,0.00019,1.56920,0.08297,0.01087,-0.00134,-0.0024,0.0171,-0.0073,0.0073,-0.0073,-0.0366,-0.0220,-0.1162,5.9145,-0.0205,-0.1343,-0.0855,-0.0366,-0.0171,1,1,1,1,1,1,1
1.8249,sweep,2,+up,-0.00591,0.10090,0.00019,1.56958,0.08297,0.01125,-0.00134,-0.0024,0.0317,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,-0.1299,5.9419,-0.0342,-0.1245,-0.0904,-0.0366,-0.0122,1,1,1,1,1,1,1
1.8649,sweep,2,+up,-0.00591,0.10090,0.00019,1.56958,0.08297,0.01125,-0.00134,-0.0024,0.0317,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,-0.1299,5.9419,-0.0342,-0.1245,-0.0904,-0.0366,-0.0122,1,1,1,1,1,1,1
