t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0022,approach,2,to_lo,-0.00591,0.00782,0.03185,0.00095,0.00401,0.02689,-0.00362,-0.0024,-0.0073,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.0068,-0.0068,-0.0479,0.0024,-0.0073,0.0024,-0.0122,1,1,1,1,1,1,1
0.0437,approach,2,to_lo,-0.00629,0.00782,0.03185,0.00095,0.00134,0.02689,-0.00362,-0.0024,0.0024,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.0205,-0.0068,0.0068,0.0024,0.0855,0.0073,0.0073,1,1,1,1,1,1,1
0.0828,approach,2,to_lo,-0.00629,0.00782,0.03185,0.00095,0.00134,0.02689,-0.00362,-0.0024,0.0024,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.0205,-0.0068,0.0068,0.0024,0.0855,0.0073,0.0073,1,1,1,1,1,1,1
0.1223,approach,2,to_lo,-0.00629,0.00782,0.03185,0.00095,0.00134,0.02689,-0.00362,-0.0024,0.0024,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.0205,-0.0068,0.0068,0.0024,0.0855,0.0073,0.0073,1,1,1,1,1,1,1
0.1625,approach,2,to_lo,-0.00629,0.02232,0.03185,0.00095,0.00134,0.02689,-0.00324,-0.0024,0.1099,0.0024,-0.0073,-0.0220,-0.0073,0.0073,0.0068,1.9487,-0.0068,-0.0073,0.1636,0.0122,0.0024,1,1,1,1,1,1,1
0.2025,approach,2,to_lo,-0.00629,0.02232,0.03185,0.00095,0.00134,0.02689,-0.00324,-0.0024,0.1099,0.0024,-0.0073,-0.0220,-0.0073,0.0073,0.0068,1.9487,-0.0068,-0.0073,0.1636,0.0122,0.0024,1,1,1,1,1,1,1
0.2429,approach,2,to_lo,-0.00629,0.03185,0.03185,0.00095,0.00172,0.02689,-0.00324,-0.0024,0.1197,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,0.0068,2.6598,-0.0342,0.0024,0.2076,0.0171,-0.0024,1,1,1,1,1,1,1
0.2827,approach,2,to_lo,-0.00629,0.03185,0.03185,0.00095,0.00172,0.02689,-0.00324,-0.0024,0.1197,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,0.0068,2.6598,-0.0342,0.0024,0.2076,0.0171,-0.0024,1,1,1,1,1,1,1
0.3223,approach,2,to_lo,-0.00629,0.03185,0.03185,0.00095,0.00172,0.02689,-0.00324,-0.0024,0.1197,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,0.0068,2.6598,-0.0342,0.0024,0.2076,0.0171,-0.0024,1,1,1,1,1,1,1
0.3630,approach,2,to_lo,-0.00629,0.04482,0.03185,0.00095,0.00210,0.02689,-0.00362,-0.0024,0.1099,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,0.0205,2.7009,-0.0342,0.0024,0.2613,0.0220,-0.0073,1,1,1,1,1,1,1
0.4024,approach,2,to_lo,-0.00629,0.04482,0.03185,0.00095,0.00210,0.02689,-0.00362,-0.0024,0.1099,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,0.0205,2.7009,-0.0342,0.0024,0.2613,0.0220,-0.0073,1,1,1,1,1,1,1
0.4424,approach,2,to_lo,-0.00629,0.05245,0.03185,0.00095,0.00248,0.02689,-0.00362,0.0024,0.0904,-0.0024,-0.0073,0.0073,0.0073,-0.0073,0.0205,2.8376,-0.0615,0.0024,0.3004,0.0269,-0.0073,1,1,1,1,1,1,1
0.4825,approach,2,to_lo,-0.00629,0.05245,0.03185,0.00095,0.00248,0.02689,-0.00362,0.0024,0.0904,-0.0024,-0.0073,0.0073,0.0073,-0.0073,0.0205,2.8376,-0.0615,0.0024,0.3004,0.0269,-0.0073,1,1,1,1,1,1,1
0.5231,approach,2,to_lo,-0.00629,0.05245,0.03185,0.00095,0.00248,0.02689,-0.00362,0.0024,0.0904,-0.0024,-0.0073,0.0073,0.0073,-0.0073,0.0205,2.8376,-0.0615,0.0024,0.3004,0.0269,-0.0073,1,1,1,1,1,1,1
0.5623,approach,2,to_lo,-0.00629,0.06275,0.03185,0.00057,0.00286,0.02689,-0.00324,-0.0024,0.0855,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,0.0342,2.7556,-0.0479,0.0024,0.3394,0.0269,-0.0024,1,1,1,1,1,1,1
0.6023,approach,2,to_lo,-0.00629,0.06275,0.03185,0.00057,0.00286,0.02689,-0.00324,-0.0024,0.0855,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,0.0342,2.7556,-0.0479,0.0024,0.3394,0.0269,-0.0024,1,1,1,1,1,1,1
0.6421,approach,2,to_lo,-0.00629,0.06847,0.03185,0.00057,0.00286,0.02689,-0.00324,-0.0073,0.0611,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,2.9470,-0.0479,0.0073,0.3639,0.0269,-0.0024,1,1,1,1,1,1,1
0.6824,approach,2,to_lo,-0.00629,0.06847,0.03185,0.00057,0.00286,0.02689,-0.00324,-0.0073,0.0611,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,2.9470,-0.0479,0.0073,0.3639,0.0269,-0.0024,1,1,1,1,1,1,1
0.7227,approach,2,to_lo,-0.00629,0.06847,0.03185,0.00057,0.00286,0.02689,-0.00324,-0.0073,0.0611,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,2.9470,-0.0479,0.0073,0.3639,0.0269,-0.0024,1,1,1,1,1,1,1
0.7623,approach,2,to_lo,-0.00629,0.07649,0.03185,0.00057,0.00324,0.02689,-0.00324,-0.0073,0.0513,-0.0024,0.0073,0.0073,-0.0073,-0.0220,0.0342,2.6462,-0.0752,0.0073,0.3834,0.0317,0.0024,1,1,1,1,1,1,1
0.8023,approach,2,to_lo,-0.00629,0.07649,0.03185,0.00057,0.00324,0.02689,-0.00324,-0.0073,0.0513,-0.0024,0.0073,0.0073,-0.0073,-0.0220,0.0342,2.6462,-0.0752,0.0073,0.3834,0.0317,0.0024,1,1,1,1,1,1,1
0.8426,approach,2,to_lo,-0.00629,0.08068,0.03185,0.00057,0.00324,0.02689,-0.00324,0.0024,0.0366,-0.0024,-0.0073,-0.0220,0.0073,-0.0073,0.0479,2.7419,-0.0342,0.0122,0.4078,0.0317,-0.0024,1,1,1,1,1,1,1
0.8825,approach,2,to_lo,-0.00629,0.08068,0.03185,0.00057,0.00324,0.02689,-0.00324,0.0024,0.0366,-0.0024,-0.0073,-0.0220,0.0073,-0.0073,0.0479,2.7419,-0.0342,0.0122,0.4078,0.0317,-0.0024,1,1,1,1,1,1,1
0.9223,approach,2,to_lo,-0.00629,0.08068,0.03185,0.00057,0.00324,0.02689,-0.00324,0.0024,0.0366,-0.0024,-0.0073,-0.0220,0.0073,-0.0073,0.0479,2.7419,-0.0342,0.0122,0.4078,0.0317,-0.0024,1,1,1,1,1,1,1
0.9624,approach,2,to_lo,-0.00629,0.08679,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0513,0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0479,2.4547,-0.0342,0.0171,0.4029,0.0269,-0.0024,1,1,1,1,1,1,1
1.0024,approach,2,to_lo,-0.00629,0.08679,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0513,0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0479,2.4547,-0.0342,0.0171,0.4029,0.0269,-0.0024,1,1,1,1,1,1,1
1.0427,approach,2,to_lo,-0.00629,0.09022,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0269,-0.0073,0.0073,-0.0220,-0.0220,-0.0073,0.0615,2.7692,-0.0479,0.0171,0.4078,0.0317,0.0024,1,1,1,1,1,1,1
1.0822,approach,2,to_lo,-0.00629,0.09022,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0269,-0.0073,0.0073,-0.0220,-0.0220,-0.0073,0.0615,2.7692,-0.0479,0.0171,0.4078,0.0317,0.0024,1,1,1,1,1,1,1
1.1224,approach,2,to_lo,-0.00629,0.09022,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0269,-0.0073,0.0073,-0.0220,-0.0220,-0.0073,0.0615,2.7692,-0.0479,0.0171,0.4078,0.0317,0.0024,1,1,1,1,1,1,1
1.1625,approach,2,to_lo,-0.00629,0.09480,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0415,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.0615,2.5778,-0.0615,0.0220,0.4176,0.0317,-0.0024,1,1,1,1,1,1,1
1.2030,approach,2,to_lo,-0.00629,0.09480,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0415,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.0615,2.5778,-0.0615,0.0220,0.4176,0.0317,-0.0024,1,1,1,1,1,1,1
1.2425,approach,2,to_lo,-0.00629,0.09747,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0464,0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0615,2.5504,-0.0479,0.0220,0.4176,0.0366,-0.0024,1,1,1,1,1,1,1
1.2823,approach,2,to_lo,-0.00629,0.09747,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0464,0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0615,2.5504,-0.0479,0.0220,0.4176,0.0366,-0.0024,1,1,1,1,1,1,1
1.3225,approach,2,to_lo,-0.00629,0.09747,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0464,0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0615,2.5504,-0.0479,0.0220,0.4176,0.0366,-0.0024,1,1,1,1,1,1,1
1.3625,approach,2,to_lo,-0.00629,0.10052,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.0122,-0.0024,-0.0073,-0.0220,-0.0073,0.0073,0.0615,2.9470,-0.0615,0.0269,0.4176,0.0415,-0.0073,1,1,1,1,1,1,1
1.8650,sweep,2,+up,-0.00629,0.10128,0.03185,0.00057,0.00362,0.02689,-0.00324,0.0024,0.0073,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0615,3.0154,-0.0615,0.0269,0.4274,0.0415,-0.0073,1,1,1,1,1,1,1
1.9051,sweep,2,+up,-0.00629,0.10128,0.03185,0.00057,0.00362,0.02689,-0.00324,0.0024,0.0073,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0615,3.0154,-0.0615,0.0269,0.4274,0.0415,-0.0073,1,1,1,1,1,1,1
1.9454,sweep,2,+up,-0.00629,0.11769,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.2076,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.1026,2.8923,-0.0342,0.0366,0.4127,0.0415,-0.0024,1,1,1,1,1,1,1
1.9851,sweep,2,+up,-0.00629,0.11769,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.2076,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.1026,2.8923,-0.0342,0.0366,0.4127,0.0415,-0.0024,1,1,1,1,1,1,1
2.0252,sweep,2,+up,-0.00629,0.11769,0.03185,0.00057,0.00362,0.02689,-0.00324,-0.0024,0.2076,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.1026,2.8923,-0.0342,0.0366,0.4127,0.0415,-0.0024,1,1,1,1,1,1,1
2.0651,sweep,2,+up,-0.00629,0.14248,0.03185,0.00057,0.00401,0.02689,-0.00324,0.0024,0.1978,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.1026,1.8256,-0.0342,0.0415,0.4078,0.0415,-0.0024,1,1,1,1,1,1,1
2.1051,sweep,2,+up,-0.00629,0.14248,0.03185,0.00057,0.00401,0.02689,-0.00324,0.0024,0.1978,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.1026,1.8256,-0.0342,0.0415,0.4078,0.0415,-0.0024,1,1,1,1,1,1,1
2.1452,sweep,2,+up,-0.00629,0.15774,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1929,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,0.1162,2.6872,-0.0342,0.0464,0.4078,0.0513,-0.0073,1,1,1,1,1,1,1
2.1851,sweep,2,+up,-0.00629,0.15774,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1929,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,0.1162,2.6872,-0.0342,0.0464,0.4078,0.0513,-0.0073,1,1,1,1,1,1,1
2.2251,sweep,2,+up,-0.00629,0.15774,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1929,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,0.1162,2.6872,-0.0342,0.0464,0.4078,0.0513,-0.0073,1,1,1,1,1,1,1
2.2654,sweep,2,+up,-0.00629,0.18215,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1832,-0.0024,-0.0073,-0.0073,0.0073,-0.0073,0.1026,2.0718,-0.0342,0.0464,0.3883,0.0513,-0.0073,1,1,1,1,1,1,1
2.3052,sweep,2,+up,-0.00629,0.18215,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1832,-0.0024,-0.0073,-0.0073,0.0073,-0.0073,0.1026,2.0718,-0.0342,0.0464,0.3883,0.0513,-0.0073,1,1,1,1,1,1,1
2.3453,sweep,2,+up,-0.00629,0.19779,0.03185,0.00057,0.00401,0.02689,-0.00324,0.0024,0.1978,-0.0073,-0.0073,-0.0220,-0.0220,0.0073,0.1026,2.5094,-0.0342,0.0513,0.3834,0.0513,-0.0073,1,1,1,1,1,1,1
2.3852,sweep,2,+up,-0.00629,0.19779,0.03185,0.00057,0.00401,0.02689,-0.00324,0.0024,0.1978,-0.0073,-0.0073,-0.0220,-0.0220,0.0073,0.1026,2.5094,-0.0342,0.0513,0.3834,0.0513,-0.0073,1,1,1,1,1,1,1
2.4253,sweep,2,+up,-0.00629,0.19779,0.03185,0.00057,0.00401,0.02689,-0.00324,0.0024,0.1978,-0.0073,-0.0073,-0.0220,-0.0220,0.0073,0.1026,2.5094,-0.0342,0.0513,0.3834,0.0513,-0.0073,1,1,1,1,1,1,1
2.4652,sweep,2,+up,-0.00629,0.22221,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1880,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.1026,2.1265,-0.0205,0.0513,0.3736,0.0562,-0.0024,1,1,1,1,1,1,1
2.5051,sweep,2,+up,-0.00629,0.22221,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.1880,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.1026,2.1265,-0.0205,0.0513,0.3736,0.0562,-0.0024,1,1,1,1,1,1,1
2.5450,sweep,2,+up,-0.00629,0.23823,0.03185,0.00057,0.00401,0.02689,-0.00324,-0.0024,0.2222,-0.0024,-0.0073,0.0073,0.0073,-0.0073,0.1162,2.0855,-0.0479,0.0562,0.3736,0.0611,-0.0024,1,1,1,1,1,1,1
