t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0023,approach,2,to_lo,0.05741,0.00324,2.53815,-0.61322,0.38891,1.69051,-0.00744,0.0024,-0.0024,-0.0024,-0.0220,-0.0073,0.0073,-0.0073,-0.2940,0.0342,-1.0462,0.1538,-0.0611,-0.0073,-0.0073,1,1,1,1,1,1,1
0.0422,approach,2,to_lo,0.05741,0.00324,2.53815,-0.61322,0.38891,1.69051,-0.00744,0.0024,-0.0024,-0.0024,-0.0220,-0.0073,0.0073,-0.0073,-0.2940,0.0342,-1.0462,0.1538,-0.0611,-0.0073,-0.0073,1,1,1,1,1,1,1
0.0826,approach,2,to_lo,0.05741,0.00515,2.54006,-0.61208,0.39273,1.69051,-0.00744,-0.0024,0.1197,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4034,4.2188,-3.3436,0.2027,-0.2662,0.0024,-0.0073,1,1,1,1,1,1,1
0.1223,approach,2,to_lo,0.05741,0.00515,2.54006,-0.61208,0.39273,1.69051,-0.00744,-0.0024,0.1197,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4034,4.2188,-3.3436,0.2027,-0.2662,0.0024,-0.0073,1,1,1,1,1,1,1
0.1626,approach,2,to_lo,0.05741,0.00515,2.54006,-0.61208,0.39273,1.69051,-0.00744,-0.0024,0.1197,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4034,4.2188,-3.3436,0.2027,-0.2662,0.0024,-0.0073,1,1,1,1,1,1,1
0.2025,approach,2,to_lo,0.05741,0.02117,2.54006,-0.60864,0.39158,1.69051,-0.00744,-0.0024,0.1294,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.4581,6.2291,-4.0274,0.0806,-0.3785,-0.0073,-0.0171,1,1,1,1,1,1,1
0.2425,approach,2,to_lo,0.05741,0.02117,2.54006,-0.60864,0.39158,1.69051,-0.00744,-0.0024,0.1294,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.4581,6.2291,-4.0274,0.0806,-0.3785,-0.0073,-0.0171,1,1,1,1,1,1,1
0.2824,approach,2,to_lo,0.05703,0.02842,2.54006,-0.60864,0.39120,1.69051,-0.00744,-0.0024,0.0513,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.3761,9.6889,-4.4786,0.0708,-0.4225,-0.0122,-0.0171,1,1,1,1,1,1,1
0.3223,approach,2,to_lo,0.05703,0.02842,2.54006,-0.60864,0.39120,1.69051,-0.00744,-0.0024,0.0513,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.3761,9.6889,-4.4786,0.0708,-0.4225,-0.0122,-0.0171,1,1,1,1,1,1,1
0.3624,approach,2,to_lo,0.05703,0.02842,2.54006,-0.60864,0.39120,1.69051,-0.00744,-0.0024,0.0513,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.3761,9.6889,-4.4786,0.0708,-0.4225,-0.0122,-0.0171,1,1,1,1,1,1,1
0.4024,approach,2,to_lo,0.05703,0.03948,2.54006,-0.60864,0.39006,1.69013,-0.00744,-0.0073,0.0659,-0.0024,0.0073,-0.0073,-0.0073,-0.0220,-0.2803,13.4222,-5.0530,0.0464,-0.3932,-0.0171,-0.0269,1,1,1,1,1,1,1
0.4425,approach,2,to_lo,0.05703,0.03948,2.54006,-0.60864,0.39006,1.69013,-0.00744,-0.0073,0.0659,-0.0024,0.0073,-0.0073,-0.0073,-0.0220,-0.2803,13.4222,-5.0530,0.0464,-0.3932,-0.0171,-0.0269,1,1,1,1,1,1,1
0.4825,approach,2,to_lo,0.05665,0.04673,2.53967,-0.60826,0.38930,1.69013,-0.00744,-0.0073,0.0952,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.2530,15.0359,-5.3265,0.0366,-0.3834,-0.0220,-0.0269,1,1,1,1,1,1,1
0.5225,approach,2,to_lo,0.05665,0.04673,2.53967,-0.60826,0.38930,1.69013,-0.00744,-0.0073,0.0952,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.2530,15.0359,-5.3265,0.0366,-0.3834,-0.0220,-0.0269,1,1,1,1,1,1,1
0.5628,approach,2,to_lo,0.05665,0.04673,2.53967,-0.60826,0.38930,1.69013,-0.00744,-0.0073,0.0952,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.2530,15.0359,-5.3265,0.0366,-0.3834,-0.0220,-0.0269,1,1,1,1,1,1,1
0.6028,approach,2,to_lo,0.05665,0.05627,2.53967,-0.60750,0.38930,1.69013,-0.00744,-0.0024,0.0659,-0.0024,0.0220,0.0073,-0.0073,-0.0073,-0.2803,16.9915,-5.8462,0.0024,-0.4029,-0.0269,-0.0317,1,1,1,1,1,1,1
0.6421,approach,2,to_lo,0.05665,0.05627,2.53967,-0.60750,0.38930,1.69013,-0.00744,-0.0024,0.0659,-0.0024,0.0220,0.0073,-0.0073,-0.0073,-0.2803,16.9915,-5.8462,0.0024,-0.4029,-0.0269,-0.0317,1,1,1,1,1,1,1
0.6825,approach,2,to_lo,0.05665,0.06237,2.53967,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,0.0024,0.0073,-0.0073,-0.0073,-0.0220,-0.2940,17.8530,-6.2427,-0.0269,-0.3932,-0.0220,-0.0366,1,1,1,1,1,1,1
0.7224,approach,2,to_lo,0.05665,0.06237,2.53967,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,0.0024,0.0073,-0.0073,-0.0073,-0.0220,-0.2940,17.8530,-6.2427,-0.0269,-0.3932,-0.0220,-0.0366,1,1,1,1,1,1,1
0.7623,approach,2,to_lo,0.05665,0.06237,2.53967,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,0.0024,0.0073,-0.0073,-0.0073,-0.0220,-0.2940,17.8530,-6.2427,-0.0269,-0.3932,-0.0220,-0.0366,1,1,1,1,1,1,1
0.8026,approach,2,to_lo,0.05665,0.07000,2.53967,-0.60674,0.38891,1.69013,-0.00744,-0.0073,0.0855,-0.0073,0.0073,0.0073,-0.0073,0.0073,-0.3350,18.9060,-6.6803,-0.0952,-0.3932,-0.0220,-0.0415,1,1,1,1,1,1,1
0.8429,approach,2,to_lo,0.05665,0.07000,2.53967,-0.60674,0.38891,1.69013,-0.00744,-0.0073,0.0855,-0.0073,0.0073,0.0073,-0.0073,0.0073,-0.3350,18.9060,-6.6803,-0.0952,-0.3932,-0.0220,-0.0415,1,1,1,1,1,1,1
0.8830,approach,2,to_lo,0.05665,0.07610,2.53967,-0.60559,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0073,-0.0073,-0.0073,0.0073,-0.0220,-0.3761,17.9077,-6.8991,-0.2222,-0.3980,-0.0220,-0.0366,1,1,1,1,1,1,1
0.9228,approach,2,to_lo,0.05665,0.07610,2.53967,-0.60559,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0073,-0.0073,-0.0073,0.0073,-0.0220,-0.3761,17.9077,-6.8991,-0.2222,-0.3980,-0.0220,-0.0366,1,1,1,1,1,1,1
0.9624,approach,2,to_lo,0.05665,0.07610,2.53967,-0.60559,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0073,-0.0073,-0.0073,0.0073,-0.0220,-0.3761,17.9077,-6.8991,-0.2222,-0.3980,-0.0220,-0.0366,1,1,1,1,1,1,1
1.0028,approach,2,to_lo,0.05665,0.08221,2.53891,-0.60674,0.38891,1.69013,-0.00744,-0.0073,0.0464,-0.0024,-0.0366,0.0073,-0.0073,0.0073,-0.3897,18.4273,-6.7487,-0.2955,-0.3883,-0.0269,-0.0415,1,1,1,1,1,1,1
1.0425,approach,2,to_lo,0.05665,0.08221,2.53891,-0.60674,0.38891,1.69013,-0.00744,-0.0073,0.0464,-0.0024,-0.0366,0.0073,-0.0073,0.0073,-0.3897,18.4273,-6.7487,-0.2955,-0.3883,-0.0269,-0.0415,1,1,1,1,1,1,1
1.0825,approach,2,to_lo,0.05665,0.08602,2.53891,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0024,-0.0513,0.0073,-0.0073,-0.0073,-0.4171,18.2496,-6.7761,-0.3199,-0.3932,-0.0317,-0.0415,1,1,1,1,1,1,1
1.1227,approach,2,to_lo,0.05665,0.08602,2.53891,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0024,-0.0513,0.0073,-0.0073,-0.0073,-0.4171,18.2496,-6.7761,-0.3199,-0.3932,-0.0317,-0.0415,1,1,1,1,1,1,1
1.1630,approach,2,to_lo,0.05665,0.08602,2.53891,-0.60750,0.38891,1.69013,-0.00744,-0.0024,0.0611,-0.0024,-0.0513,0.0073,-0.0073,-0.0073,-0.4171,18.2496,-6.7761,-0.3199,-0.3932,-0.0317,-0.0415,1,1,1,1,1,1,1
1.2025,approach,2,to_lo,0.05665,0.09098,2.53891,-0.60712,0.38853,1.69013,-0.00744,-0.0024,0.0611,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.4581,18.5778,-7.1179,-0.4567,-0.3932,-0.0317,-0.0415,1,1,1,1,1,1,1
1.2425,approach,2,to_lo,0.05665,0.09098,2.53891,-0.60712,0.38853,1.69013,-0.00744,-0.0024,0.0611,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.4581,18.5778,-7.1179,-0.4567,-0.3932,-0.0317,-0.0415,1,1,1,1,1,1,1
1.2824,approach,2,to_lo,0.05665,0.09251,2.53891,-0.60407,0.38853,1.69013,-0.00744,-0.0024,0.0122,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.5402,20.4786,-7.3915,-0.8523,-0.3687,-0.0317,-0.0415,1,1,1,1,1,1,1
1.3225,approach,2,to_lo,0.05665,0.09251,2.53891,-0.60407,0.38853,1.69013,-0.00744,-0.0024,0.0122,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.5402,20.4786,-7.3915,-0.8523,-0.3687,-0.0317,-0.0415,1,1,1,1,1,1,1
1.3623,approach,2,to_lo,0.05665,0.09251,2.53891,-0.60407,0.38853,1.69013,-0.00744,-0.0024,0.0122,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.5402,20.4786,-7.3915,-0.8523,-0.3687,-0.0317,-0.0415,1,1,1,1,1,1,1
