t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0026,approach,3,to_lo,0.08640,1.16903,0.38090,0.75360,-0.13867,0.39731,-0.00324,0.0024,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,0.0073,0.0205,-0.1983,0.9778,0.0415,0.0073,-0.0073,-0.0073,1,1,1,1,1,1,1
0.0424,approach,3,to_lo,0.08640,1.16903,0.38090,0.75360,-0.13867,0.39731,-0.00324,0.0024,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,0.0073,0.0205,-0.1983,0.9778,0.0415,0.0073,-0.0073,-0.0073,1,1,1,1,1,1,1
0.0826,approach,3,to_lo,0.08640,1.16903,0.38090,0.75360,-0.13867,0.39731,-0.00324,0.0024,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,0.0073,0.0205,-0.1983,0.9778,0.0415,0.0073,-0.0073,-0.0073,1,1,1,1,1,1,1
0.1224,approach,3,to_lo,0.08602,1.17170,0.36259,0.73644,-0.13943,0.39692,-0.00324,-0.0024,-0.0024,-0.2076,0.0513,0.0073,0.0073,0.0073,0.2530,-3.4530,5.6000,2.0830,0.0122,0.0073,-0.0024,1,1,1,1,1,1,1
0.1624,approach,3,to_lo,0.08602,1.17170,0.36259,0.73644,-0.13943,0.39692,-0.00324,-0.0024,-0.0024,-0.2076,0.0513,0.0073,0.0073,0.0073,0.2530,-3.4530,5.6000,2.0830,0.0122,0.0073,-0.0024,1,1,1,1,1,1,1
0.2022,approach,3,to_lo,0.08602,1.17170,0.34619,0.73987,-0.13943,0.39731,-0.00362,-0.0024,-0.0024,-0.2125,0.1099,0.0073,-0.0073,0.0073,0.2667,-3.9590,6.1060,2.3907,0.0073,0.0024,-0.0024,1,1,1,1,1,1,1
0.2426,approach,3,to_lo,0.08602,1.17170,0.34619,0.73987,-0.13943,0.39731,-0.00362,-0.0024,-0.0024,-0.2125,0.1099,0.0073,-0.0073,0.0073,0.2667,-3.9590,6.1060,2.3907,0.0073,0.0024,-0.0024,1,1,1,1,1,1,1
0.2825,approach,3,to_lo,0.08602,1.17170,0.34619,0.73987,-0.13943,0.39731,-0.00362,-0.0024,-0.0024,-0.2125,0.1099,0.0073,-0.0073,0.0073,0.2667,-3.9590,6.1060,2.3907,0.0073,0.0024,-0.0024,1,1,1,1,1,1,1
0.3223,approach,3,to_lo,0.08602,1.17056,0.32483,0.75895,-0.13676,0.39502,-0.00324,-0.0024,-0.0024,-0.1929,0.0513,-0.0073,0.0073,-0.0073,0.3350,-2.9470,2.8923,1.1160,-0.1001,0.0806,-0.0024,1,1,1,1,1,1,1
0.3623,approach,3,to_lo,0.08602,1.17056,0.32483,0.75895,-0.13676,0.39502,-0.00324,-0.0024,-0.0024,-0.1929,0.0513,-0.0073,0.0073,-0.0073,0.3350,-2.9470,2.8923,1.1160,-0.1001,0.0806,-0.0024,1,1,1,1,1,1,1
0.4023,approach,3,to_lo,0.08602,1.17056,0.30575,0.74521,-0.13714,0.39731,-0.00362,0.0024,0.0024,-0.2222,-0.1245,-0.0220,0.0073,-0.0220,0.4308,-3.3709,6.9128,2.2344,-0.1343,0.0220,-0.0024,1,1,1,1,1,1,1
