t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0025,approach,2,to_lo,-0.01888,0.07992,2.06741,-0.47055,0.16423,1.59628,-0.00744,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0479,0.7726,-0.0889,-0.2808,-0.0073,0.0024,-0.0073,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,-0.01888,0.07992,2.06741,-0.47055,0.16423,1.59628,-0.00744,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,0.0479,0.7726,-0.0889,-0.2808,-0.0073,0.0024,-0.0073,1,1,1,1,1,1,1
0.0826,approach,2,to_lo,-0.01888,0.07954,2.06741,-0.47665,0.16537,1.59628,-0.00744,-0.0024,0.0269,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0342,3.8632,-0.1299,0.0073,-0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.1227,approach,2,to_lo,-0.01888,0.07954,2.06741,-0.47665,0.16537,1.59628,-0.00744,-0.0024,0.0269,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0342,3.8632,-0.1299,0.0073,-0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.1623,approach,2,to_lo,-0.01888,0.07954,2.06741,-0.47665,0.16537,1.59628,-0.00744,-0.0024,0.0269,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,0.0342,3.8632,-0.1299,0.0073,-0.0464,-0.0024,-0.0073,1,1,1,1,1,1,1
0.2023,approach,2,to_lo,-0.01888,0.08488,2.06741,-0.47665,0.16537,1.59667,-0.00744,-0.0024,0.0415,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0068,4.7385,-0.1846,0.0171,-0.0611,-0.0073,-0.0073,1,1,1,1,1,1,1
0.2424,approach,2,to_lo,-0.01888,0.08488,2.06741,-0.47665,0.16537,1.59667,-0.00744,-0.0024,0.0415,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.0068,4.7385,-0.1846,0.0171,-0.0611,-0.0073,-0.0073,1,1,1,1,1,1,1
0.2823,approach,2,to_lo,-0.01888,0.08831,2.06741,-0.47665,0.16537,1.59667,-0.00744,-0.0073,0.0269,0.0024,0.0073,0.0073,-0.0073,0.0073,-0.0068,5.0803,-0.2530,0.0269,-0.0806,-0.0122,-0.0073,1,1,1,1,1,1,1
0.3224,approach,2,to_lo,-0.01888,0.08831,2.06741,-0.47665,0.16537,1.59667,-0.00744,-0.0073,0.0269,0.0024,0.0073,0.0073,-0.0073,0.0073,-0.0068,5.0803,-0.2530,0.0269,-0.0806,-0.0122,-0.0073,1,1,1,1,1,1,1
0.3625,approach,2,to_lo,-0.01888,0.08831,2.06741,-0.47665,0.16537,1.59667,-0.00744,-0.0073,0.0269,0.0024,0.0073,0.0073,-0.0073,0.0073,-0.0068,5.0803,-0.2530,0.0269,-0.0806,-0.0122,-0.0073,1,1,1,1,1,1,1
0.4024,approach,2,to_lo,-0.01888,0.09289,2.06779,-0.47665,0.16499,1.59628,-0.00744,0.0024,0.0366,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0068,5.4769,-0.4991,0.0317,-0.1148,-0.0171,-0.0171,1,1,1,1,1,1,1
0.4425,approach,2,to_lo,-0.01888,0.09289,2.06779,-0.47665,0.16499,1.59628,-0.00744,0.0024,0.0366,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0068,5.4769,-0.4991,0.0317,-0.1148,-0.0171,-0.0171,1,1,1,1,1,1,1
0.4823,approach,2,to_lo,-0.01888,0.09480,2.06817,-0.47665,0.16499,1.59628,-0.00744,-0.0024,0.0317,0.0073,-0.0220,-0.0073,-0.0220,-0.0073,-0.0068,6.4889,-0.8547,0.0366,-0.1392,-0.0220,-0.0171,1,1,1,1,1,1,1
0.5224,approach,2,to_lo,-0.01888,0.09480,2.06817,-0.47665,0.16499,1.59628,-0.00744,-0.0024,0.0317,0.0073,-0.0220,-0.0073,-0.0220,-0.0073,-0.0068,6.4889,-0.8547,0.0366,-0.1392,-0.0220,-0.0171,1,1,1,1,1,1,1
0.5625,approach,2,to_lo,-0.01888,0.09480,2.06817,-0.47665,0.16499,1.59628,-0.00744,-0.0024,0.0317,0.0073,-0.0220,-0.0073,-0.0220,-0.0073,-0.0068,6.4889,-0.8547,0.0366,-0.1392,-0.0220,-0.0171,1,1,1,1,1,1,1
0.6028,approach,2,to_lo,-0.01888,0.09632,2.06855,-0.47665,0.16461,1.59628,-0.00744,-0.0024,0.0171,0.0024,-0.0073,-0.0220,0.0073,-0.0073,-0.0889,9.6752,-1.7436,0.0513,-0.1490,-0.0317,-0.0269,1,1,1,1,1,1,1
0.6424,approach,2,to_lo,-0.01888,0.09632,2.06855,-0.47665,0.16461,1.59628,-0.00744,-0.0024,0.0171,0.0024,-0.0073,-0.0220,0.0073,-0.0073,-0.0889,9.6752,-1.7436,0.0513,-0.1490,-0.0317,-0.0269,1,1,1,1,1,1,1
