t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0023,approach,2,to_lo,0.06619,0.00553,1.67716,-0.13600,-0.05283,1.59667,-0.00744,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,0.0205,-0.9231,0.0122,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,0.06619,0.00553,1.67716,-0.13600,-0.05283,1.59667,-0.00744,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,0.0205,-0.9231,0.0122,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.0824,approach,2,to_lo,0.06619,0.00553,1.67716,-0.13600,-0.05283,1.59667,-0.00744,-0.0024,-0.0024,-0.0024,-0.0073,-0.0073,-0.0220,-0.0220,0.0342,0.0205,-0.9231,0.0122,-0.0171,-0.0024,-0.0024,1,1,1,1,1,1,1
0.1224,approach,2,to_lo,0.06619,0.01278,1.67792,-0.13523,-0.05283,1.59667,-0.00744,-0.0024,0.1392,-0.0073,0.0073,-0.0220,-0.0220,-0.0073,0.0752,4.6427,-2.2359,-0.0220,-0.0269,0.0122,-0.0073,1,1,1,1,1,1,1
0.1624,approach,2,to_lo,0.06619,0.01278,1.67792,-0.13523,-0.05283,1.59667,-0.00744,-0.0024,0.1392,-0.0073,0.0073,-0.0220,-0.0220,-0.0073,0.0752,4.6427,-2.2359,-0.0220,-0.0269,0.0122,-0.0073,1,1,1,1,1,1,1
0.2023,approach,2,to_lo,0.06619,0.02232,1.67792,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1099,-0.0073,-0.0073,-0.0220,0.0073,-0.0220,0.0615,6.5299,-2.4957,-0.0415,-0.0317,0.0073,-0.0122,1,1,1,1,1,1,1
0.2425,approach,2,to_lo,0.06619,0.02232,1.67792,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1099,-0.0073,-0.0073,-0.0220,0.0073,-0.0220,0.0615,6.5299,-2.4957,-0.0415,-0.0317,0.0073,-0.0122,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,0.06619,0.02232,1.67792,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1099,-0.0073,-0.0073,-0.0220,0.0073,-0.0220,0.0615,6.5299,-2.4957,-0.0415,-0.0317,0.0073,-0.0122,1,1,1,1,1,1,1
0.3225,approach,2,to_lo,0.06619,0.03376,1.67792,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1148,-0.0024,-0.0073,0.0073,-0.0220,0.0073,0.0479,11.2068,-2.8103,-0.0708,-0.0317,0.0024,-0.0122,1,1,1,1,1,1,1
0.3626,approach,2,to_lo,0.06619,0.03376,1.67792,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1148,-0.0024,-0.0073,0.0073,-0.0220,0.0073,0.0479,11.2068,-2.8103,-0.0708,-0.0317,0.0024,-0.0122,1,1,1,1,1,1,1
0.4024,approach,2,to_lo,0.06619,0.04101,1.67754,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1197,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.0205,13.1897,-3.0291,-0.0806,-0.0366,-0.0024,-0.0122,1,1,1,1,1,1,1
0.4425,approach,2,to_lo,0.06619,0.04101,1.67754,-0.13485,-0.05283,1.59667,-0.00744,-0.0024,0.1197,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,0.0205,13.1897,-3.0291,-0.0806,-0.0366,-0.0024,-0.0122,1,1,1,1,1,1,1
