t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0023,approach,2,to_lo,-0.06657,-0.03605,1.47650,-0.03986,-0.04521,0.00401,-0.00324,-0.0073,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0342,-0.0068,-0.6769,-0.0122,-0.0073,-0.0122,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,-0.06657,-0.03605,1.47650,-0.03986,-0.04521,0.00401,-0.00324,-0.0073,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0342,-0.0068,-0.6769,-0.0122,-0.0073,-0.0122,-0.0024,1,1,1,1,1,1,1
0.0832,approach,2,to_lo,-0.06657,-0.03224,1.47726,-0.03605,-0.04521,0.00362,-0.00324,0.0024,0.1294,-0.0073,-0.0073,-0.0073,-0.0220,-0.0073,-0.0889,3.4530,-1.6205,-0.2125,-0.0073,-0.0171,-0.0073,1,1,1,1,1,1,1
0.1223,approach,2,to_lo,-0.06657,-0.03224,1.47726,-0.03605,-0.04521,0.00362,-0.00324,0.0024,0.1294,-0.0073,-0.0073,-0.0073,-0.0220,-0.0073,-0.0889,3.4530,-1.6205,-0.2125,-0.0073,-0.0171,-0.0073,1,1,1,1,1,1,1
0.1625,approach,2,to_lo,-0.06657,-0.01431,1.47726,-0.03643,-0.04521,0.00362,-0.00324,-0.0024,0.1001,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0889,9.4974,-1.8393,-0.3297,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.2025,approach,2,to_lo,-0.06657,-0.01431,1.47726,-0.03643,-0.04521,0.00362,-0.00324,-0.0024,0.1001,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0889,9.4974,-1.8393,-0.3297,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.2429,approach,2,to_lo,-0.06657,-0.01431,1.47726,-0.03643,-0.04521,0.00362,-0.00324,-0.0024,0.1001,-0.0024,-0.0220,-0.0220,-0.0073,-0.0073,-0.0889,9.4974,-1.8393,-0.3297,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.2825,approach,2,to_lo,-0.06657,-0.00439,1.47688,-0.03910,-0.04521,0.00362,-0.00324,-0.0073,0.0904,-0.0024,0.0073,-0.0220,-0.0073,-0.0073,-0.0479,15.5692,-2.0581,-0.2515,-0.0220,-0.0220,-0.0122,1,1,1,1,1,1,1
0.3225,approach,2,to_lo,-0.06657,-0.00439,1.47688,-0.03910,-0.04521,0.00362,-0.00324,-0.0073,0.0904,-0.0024,0.0073,-0.0220,-0.0073,-0.0073,-0.0479,15.5692,-2.0581,-0.2515,-0.0220,-0.0220,-0.0122,1,1,1,1,1,1,1
0.3624,approach,2,to_lo,-0.06657,0.01202,1.47726,-0.03796,-0.04521,0.00362,-0.00324,0.0024,0.1343,-0.0024,0.0513,0.0073,-0.0366,-0.0073,-0.0615,18.1812,-2.4000,-0.4225,-0.0269,-0.0220,-0.0073,1,1,1,1,1,1,1
