t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0024,approach,3,to_lo,0.04635,0.49687,0.02995,1.05955,-0.00744,0.20619,-0.00324,-0.0024,-0.0024,-0.0024,0.0073,0.0073,-0.0366,-0.0073,0.0342,1.0188,-0.0342,0.0171,-0.0171,0.0122,-0.0024,1,1,1,1,1,1,1
0.0424,approach,3,to_lo,0.04635,0.49687,0.02995,1.05955,-0.00744,0.20619,-0.00324,-0.0024,-0.0024,-0.0024,0.0073,0.0073,-0.0366,-0.0073,0.0342,1.0188,-0.0342,0.0171,-0.0171,0.0122,-0.0024,1,1,1,1,1,1,1
0.0824,approach,3,to_lo,0.04635,0.49687,0.03185,1.03590,-0.00744,0.20619,-0.00362,0.0024,-0.0024,0.0904,0.0806,-0.0073,-0.0073,-0.0073,-0.0205,1.1282,2.1675,2.1123,-0.0171,0.0073,-0.0122,1,1,1,1,1,1,1
0.1224,approach,3,to_lo,0.04635,0.49687,0.03185,1.03590,-0.00744,0.20619,-0.00362,0.0024,-0.0024,0.0904,0.0806,-0.0073,-0.0073,-0.0073,-0.0205,1.1282,2.1675,2.1123,-0.0171,0.0073,-0.0122,1,1,1,1,1,1,1
0.1626,approach,3,to_lo,0.04635,0.49687,0.03185,1.03590,-0.00744,0.20619,-0.00362,0.0024,-0.0024,0.0904,0.0806,-0.0073,-0.0073,-0.0073,-0.0205,1.1282,2.1675,2.1123,-0.0171,0.0073,-0.0122,1,1,1,1,1,1,1
0.2027,approach,3,to_lo,0.04635,0.49687,0.04253,1.04696,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.1099,0.0659,0.0073,-0.0073,-0.0073,-0.0615,1.1556,6.0650,2.1661,-0.0220,0.0024,-0.0171,1,1,1,1,1,1,1
0.2425,approach,3,to_lo,0.04635,0.49687,0.04253,1.04696,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.1099,0.0659,0.0073,-0.0073,-0.0073,-0.0615,1.1556,6.0650,2.1661,-0.0220,0.0024,-0.0171,1,1,1,1,1,1,1
0.2829,approach,3,to_lo,0.04635,0.49687,0.04864,1.05383,-0.00744,0.20619,-0.00324,-0.0024,-0.0024,0.0611,0.0073,0.0073,-0.0073,0.0073,-0.0479,1.2513,8.4855,1.9463,-0.0220,0.0024,-0.0220,1,1,1,1,1,1,1
0.3228,approach,3,to_lo,0.04635,0.49687,0.04864,1.05383,-0.00744,0.20619,-0.00324,-0.0024,-0.0024,0.0611,0.0073,0.0073,-0.0073,0.0073,-0.0479,1.2513,8.4855,1.9463,-0.0220,0.0024,-0.0220,1,1,1,1,1,1,1
0.3627,approach,3,to_lo,0.04635,0.49687,0.04864,1.05383,-0.00744,0.20619,-0.00324,-0.0024,-0.0024,0.0611,0.0073,0.0073,-0.0073,0.0073,-0.0479,1.2513,8.4855,1.9463,-0.0220,0.0024,-0.0220,1,1,1,1,1,1,1
0.4028,approach,3,to_lo,0.04635,0.49687,0.05703,1.05764,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0073,-0.0073,-0.0073,-0.0073,-0.0615,1.3470,12.1231,1.8974,-0.0269,0.0024,-0.0269,1,1,1,1,1,1,1
0.4426,approach,3,to_lo,0.04635,0.49687,0.05703,1.05764,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0073,-0.0073,-0.0073,-0.0073,-0.0615,1.3470,12.1231,1.8974,-0.0269,0.0024,-0.0269,1,1,1,1,1,1,1
0.4824,approach,3,to_lo,0.04635,0.49725,0.06428,1.05955,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0220,-0.0073,-0.0073,-0.0073,-0.0752,1.4154,10.7009,1.7900,-0.0317,-0.0024,-0.0317,1,1,1,1,1,1,1
0.5224,approach,3,to_lo,0.04635,0.49725,0.06428,1.05955,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0220,-0.0073,-0.0073,-0.0073,-0.0752,1.4154,10.7009,1.7900,-0.0317,-0.0024,-0.0317,1,1,1,1,1,1,1
0.5625,approach,3,to_lo,0.04635,0.49725,0.06428,1.05955,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0220,-0.0073,-0.0073,-0.0073,-0.0752,1.4154,10.7009,1.7900,-0.0317,-0.0024,-0.0317,1,1,1,1,1,1,1
0.6044,approach,3,to_lo,0.04635,0.49725,0.07229,1.05955,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0562,-0.0073,0.0073,-0.0073,-0.0073,-0.1026,1.4427,11.1385,1.8144,-0.0366,-0.0024,-0.0366,1,1,1,1,1,1,1
0.6423,approach,3,to_lo,0.04635,0.49725,0.07229,1.05955,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0562,-0.0073,0.0073,-0.0073,-0.0073,-0.1026,1.4427,11.1385,1.8144,-0.0366,-0.0024,-0.0366,1,1,1,1,1,1,1
0.6823,approach,3,to_lo,0.04635,0.49725,0.07763,1.05993,-0.00744,0.20619,-0.00362,-0.0024,-0.0024,0.0806,0.0220,0.0073,-0.0073,-0.0220,-0.1162,1.5521,10.7282,1.7656,-0.0366,-0.0073,-0.0366,1,1,1,1,1,1,1
