t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0024,approach,3,to_lo,-0.00095,0.00401,0.01774,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,0.0205,-0.0342,-0.0342,-0.0024,0.0024,-0.0122,-0.0073,1,1,1,1,1,1,1
0.0423,approach,3,to_lo,-0.00095,0.00401,0.01774,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,-0.0024,0.0220,-0.0073,-0.0220,0.0220,-0.0205,-0.0205,-0.0342,0.0024,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.0823,approach,3,to_lo,-0.00095,0.00401,0.01774,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,-0.0024,0.0220,-0.0073,-0.0220,0.0220,-0.0205,-0.0205,-0.0342,0.0024,-0.0073,-0.0122,-0.0073,1,1,1,1,1,1,1
0.1223,approach,3,to_lo,-0.00095,0.00401,0.02422,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,0.0904,-0.0073,-0.0073,0.0073,-0.0073,-0.0068,-0.0615,3.7812,-0.0024,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.1623,approach,3,to_lo,-0.00095,0.00401,0.02422,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,0.0904,-0.0073,-0.0073,0.0073,-0.0073,-0.0068,-0.0615,3.7812,-0.0024,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2025,approach,3,to_lo,-0.00095,0.00401,0.02422,-0.00362,0.00439,-0.17529,-0.00324,-0.0024,-0.0024,0.0904,-0.0073,-0.0073,0.0073,-0.0073,-0.0068,-0.0615,3.7812,-0.0024,-0.0122,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2424,approach,3,to_lo,-0.00095,0.00401,0.03719,-0.00629,0.00401,-0.17491,-0.00324,0.0024,-0.0024,0.1050,-0.0806,-0.0073,-0.0073,-0.0073,-0.0068,-0.0889,5.8462,0.0904,-0.0073,-0.0122,-0.0122,1,1,1,1,1,1,1
0.2825,approach,3,to_lo,-0.00095,0.00401,0.03719,-0.00629,0.00401,-0.17491,-0.00324,0.0024,-0.0024,0.1050,-0.0806,-0.0073,-0.0073,-0.0073,-0.0068,-0.0889,5.8462,0.0904,-0.0073,-0.0122,-0.0122,1,1,1,1,1,1,1
0.3224,approach,3,to_lo,-0.00095,0.00401,0.04521,-0.00744,0.00248,-0.17491,-0.00324,-0.0024,-0.0073,0.1001,-0.0220,-0.0366,-0.0220,-0.0073,-0.0342,-0.0752,6.6256,0.2271,0.0513,-0.0122,-0.0171,1,1,1,1,1,1,1
0.3625,approach,3,to_lo,-0.00095,0.00401,0.04521,-0.00744,0.00248,-0.17491,-0.00324,-0.0024,-0.0073,0.1001,-0.0220,-0.0366,-0.0220,-0.0073,-0.0342,-0.0752,6.6256,0.2271,0.0513,-0.0122,-0.0171,1,1,1,1,1,1,1
0.4023,approach,3,to_lo,-0.00095,0.00401,0.04521,-0.00744,0.00248,-0.17491,-0.00324,-0.0024,-0.0073,0.1001,-0.0220,-0.0366,-0.0220,-0.0073,-0.0342,-0.0752,6.6256,0.2271,0.0513,-0.0122,-0.0171,1,1,1,1,1,1,1
0.4430,approach,3,to_lo,-0.00095,0.00401,0.05589,-0.00782,0.00095,-0.17491,-0.00324,-0.0024,-0.0024,0.0708,-0.0220,-0.0073,0.0073,-0.0073,-0.0068,-0.0479,7.5419,0.4469,0.2564,-0.0122,-0.0122,1,1,1,1,1,1,1
