t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0023,approach,2,to_lo,-0.00668,-0.00019,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,0.0068,0.0342,-0.0205,0.0122,-0.0073,-0.0073,-0.0024,1,1,1,1,1,1,1
0.0424,approach,2,to_lo,-0.00668,-0.00019,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,0.0068,0.0342,-0.0205,0.0122,-0.0073,-0.0073,-0.0024,1,1,1,1,1,1,1
0.0826,approach,2,to_lo,-0.00668,-0.00019,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,-0.0024,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,0.0068,0.0342,-0.0205,0.0122,-0.0073,-0.0073,-0.0024,1,1,1,1,1,1,1
0.1227,approach,2,to_lo,-0.00668,-0.00019,0.00019,-0.00515,0.00019,0.01163,-0.00057,0.0024,0.0024,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,-0.0342,0.0205,-0.0205,0.0073,-0.0024,-0.0171,-0.0073,1,1,1,1,1,1,1
0.1624,approach,2,to_lo,-0.00668,-0.00019,0.00019,-0.00515,0.00019,0.01163,-0.00057,0.0024,0.0024,-0.0073,-0.0073,-0.0073,0.0073,-0.0073,-0.0342,0.0205,-0.0205,0.0073,-0.0024,-0.0171,-0.0073,1,1,1,1,1,1,1
0.2023,approach,2,to_lo,-0.00668,0.02041,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.1392,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0615,2.7009,-0.0205,-0.0073,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.2423,approach,2,to_lo,-0.00668,0.02041,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.1392,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0615,2.7009,-0.0205,-0.0073,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.2824,approach,2,to_lo,-0.00668,0.02041,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.1392,-0.0024,-0.0073,0.0073,-0.0073,-0.0073,-0.0615,2.7009,-0.0205,-0.0073,-0.0122,-0.0171,-0.0122,1,1,1,1,1,1,1
0.3223,approach,2,to_lo,-0.00668,0.03529,0.00019,-0.00515,0.00019,0.01163,-0.00057,0.0024,0.1099,-0.0073,-0.0220,0.0073,-0.0073,-0.0073,-0.1026,2.8376,-0.0342,-0.0024,-0.0220,-0.0220,-0.0122,1,1,1,1,1,1,1
0.3623,approach,2,to_lo,-0.00668,0.03529,0.00019,-0.00515,0.00019,0.01163,-0.00057,0.0024,0.1099,-0.0073,-0.0220,0.0073,-0.0073,-0.0073,-0.1026,2.8376,-0.0342,-0.0024,-0.0220,-0.0220,-0.0122,1,1,1,1,1,1,1
0.4023,approach,2,to_lo,-0.00668,0.04368,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0073,0.0806,-0.0024,-0.0073,0.0073,0.0073,-0.0073,-0.1162,2.7419,-0.0479,-0.0073,-0.0220,-0.0220,-0.0171,1,1,1,1,1,1,1
0.4423,approach,2,to_lo,-0.00668,0.04368,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0073,0.0806,-0.0024,-0.0073,0.0073,0.0073,-0.0073,-0.1162,2.7419,-0.0479,-0.0073,-0.0220,-0.0220,-0.0171,1,1,1,1,1,1,1
0.4824,approach,2,to_lo,-0.00668,0.04368,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0073,0.0806,-0.0024,-0.0073,0.0073,0.0073,-0.0073,-0.1162,2.7419,-0.0479,-0.0073,-0.0220,-0.0220,-0.0171,1,1,1,1,1,1,1
0.5224,approach,2,to_lo,-0.00668,0.05550,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.0855,0.0024,-0.0073,-0.0073,-0.0073,-0.0220,-0.1436,2.6735,-0.0479,-0.0171,-0.0269,-0.0171,-0.0171,1,1,1,1,1,1,1
0.5624,approach,2,to_lo,-0.00668,0.05550,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.0855,0.0024,-0.0073,-0.0073,-0.0073,-0.0220,-0.1436,2.6735,-0.0479,-0.0171,-0.0269,-0.0171,-0.0171,1,1,1,1,1,1,1
0.6027,approach,2,to_lo,-0.00668,0.06199,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.0659,-0.0073,-0.0073,-0.0220,-0.0073,0.0073,-0.1573,2.6872,-0.0615,-0.0171,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.6427,approach,2,to_lo,-0.00668,0.06199,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.0659,-0.0073,-0.0073,-0.0220,-0.0073,0.0073,-0.1573,2.6872,-0.0615,-0.0171,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.6824,approach,2,to_lo,-0.00668,0.06199,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0024,0.0659,-0.0073,-0.0073,-0.0220,-0.0073,0.0073,-0.1573,2.6872,-0.0615,-0.0171,-0.0317,-0.0220,-0.0171,1,1,1,1,1,1,1
0.7224,approach,2,to_lo,-0.00668,0.07076,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0073,0.0562,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.1709,2.8103,-0.0752,-0.0220,-0.0366,-0.0171,-0.0220,1,1,1,1,1,1,1
0.7623,approach,2,to_lo,-0.00668,0.07076,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0073,0.0562,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.1709,2.8103,-0.0752,-0.0220,-0.0366,-0.0171,-0.0220,1,1,1,1,1,1,1
0.8024,approach,2,to_lo,-0.00668,0.07572,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0659,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.1709,2.5094,-0.0615,-0.0220,-0.0366,-0.0220,-0.0220,1,1,1,1,1,1,1
0.8423,approach,2,to_lo,-0.00668,0.07572,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0659,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.1709,2.5094,-0.0615,-0.0220,-0.0366,-0.0220,-0.0220,1,1,1,1,1,1,1
0.8825,approach,2,to_lo,-0.00668,0.07572,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0659,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.1709,2.5094,-0.0615,-0.0220,-0.0366,-0.0220,-0.0220,1,1,1,1,1,1,1
0.9227,approach,2,to_lo,-0.00668,0.08259,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0073,0.0464,0.0024,-0.0073,-0.0220,0.0073,-0.0220,-0.2120,2.4821,-0.0752,-0.0269,-0.0464,-0.0171,-0.0220,1,1,1,1,1,1,1
0.9625,approach,2,to_lo,-0.00668,0.08259,0.00019,-0.00515,0.00019,0.01163,-0.00057,-0.0073,0.0464,0.0024,-0.0073,-0.0220,0.0073,-0.0220,-0.2120,2.4821,-0.0752,-0.0269,-0.0464,-0.0171,-0.0220,1,1,1,1,1,1,1
1.0023,approach,2,to_lo,-0.00668,0.08640,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0513,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.2256,2.5094,-0.0889,-0.0317,-0.0513,-0.0171,-0.0220,1,1,1,1,1,1,1
1.0427,approach,2,to_lo,-0.00668,0.08640,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0513,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.2256,2.5094,-0.0889,-0.0317,-0.0513,-0.0171,-0.0220,1,1,1,1,1,1,1
1.0823,approach,2,to_lo,-0.00668,0.08640,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0513,-0.0024,-0.0073,-0.0073,-0.0220,-0.0073,-0.2256,2.5094,-0.0889,-0.0317,-0.0513,-0.0171,-0.0220,1,1,1,1,1,1,1
1.1225,approach,2,to_lo,-0.00668,0.09136,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0464,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.2667,2.5915,-0.1162,-0.0317,-0.0562,-0.0171,-0.0220,1,1,1,1,1,1,1
1.1624,approach,2,to_lo,-0.00668,0.09136,0.00019,-0.00515,0.00019,0.01125,-0.00057,-0.0024,0.0464,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.2667,2.5915,-0.1162,-0.0317,-0.0562,-0.0171,-0.0220,1,1,1,1,1,1,1
