t_s,phase,swept_joint,direction,q1,q2,q3,q4,q5,q6,q7,v1,v2,v3,v4,v5,v6,v7,tau1,tau2,tau3,tau4,tau5,tau6,tau7,st1,st2,st3,st4,st5,st6,st7
0.0024,approach,2,to_lo,0.13828,-0.00019,2.98753,-0.22030,0.04788,1.01339,-0.00744,-0.0024,-0.0073,-0.0024,-0.0073,-0.0073,-0.0073,-0.0220,-0.0342,0.0068,-0.0615,0.0073,0.0464,-0.0122,-0.0171,1,1,1,1,1,1,1
0.0425,approach,2,to_lo,0.13828,-0.00019,2.98753,-0.22030,0.04788,1.01339,-0.00744,-0.0024,-0.0073,-0.0024,-0.0073,-0.0073,-0.0073,-0.0220,-0.0342,0.0068,-0.0615,0.0073,0.0464,-0.0122,-0.0171,1,1,1,1,1,1,1
0.0823,approach,2,to_lo,0.13867,0.00095,2.99249,-0.20199,0.05131,1.01339,-0.00744,-0.0024,0.1245,-0.0024,-0.0366,-0.0073,-0.0073,-0.0073,-0.1436,5.1897,-6.4205,-1.5116,-0.0562,-0.0073,0.0073,1,1,1,1,1,1,1
0.1224,approach,2,to_lo,0.13867,0.00095,2.99249,-0.20199,0.05131,1.01339,-0.00744,-0.0024,0.1245,-0.0024,-0.0366,-0.0073,-0.0073,-0.0073,-0.1436,5.1897,-6.4205,-1.5116,-0.0562,-0.0073,0.0073,1,1,1,1,1,1,1
0.1624,approach,2,to_lo,0.13867,0.00095,2.99249,-0.20199,0.05131,1.01339,-0.00744,-0.0024,0.1245,-0.0024,-0.0366,-0.0073,-0.0073,-0.0073,-0.1436,5.1897,-6.4205,-1.5116,-0.0562,-0.0073,0.0073,1,1,1,1,1,1,1
0.2024,approach,2,to_lo,0.13867,0.01621,2.99249,-0.20848,0.05055,1.01339,-0.00744,0.0024,0.1148,-0.0073,-0.0513,-0.0073,-0.0073,-0.0073,-0.1983,8.4855,-7.4872,-1.7314,-0.1148,-0.0122,0.0073,1,1,1,1,1,1,1
0.2424,approach,2,to_lo,0.13867,0.01621,2.99249,-0.20848,0.05055,1.01339,-0.00744,0.0024,0.1148,-0.0073,-0.0513,-0.0073,-0.0073,-0.0073,-0.1983,8.4855,-7.4872,-1.7314,-0.1148,-0.0122,0.0073,1,1,1,1,1,1,1
0.2826,approach,2,to_lo,0.13867,0.02499,2.99249,-0.21458,0.04902,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2256,11.4256,-8.1026,-1.5409,-0.0855,-0.0171,0.0024,1,1,1,1,1,1,1
0.3224,approach,2,to_lo,0.13867,0.02499,2.99249,-0.21458,0.04902,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2256,11.4256,-8.1026,-1.5409,-0.0855,-0.0171,0.0024,1,1,1,1,1,1,1
0.3627,approach,2,to_lo,0.13867,0.02499,2.99249,-0.21458,0.04902,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2256,11.4256,-8.1026,-1.5409,-0.0855,-0.0171,0.0024,1,1,1,1,1,1,1
0.4023,approach,2,to_lo,0.13867,0.03605,2.99172,-0.21763,0.04826,1.01339,-0.00744,-0.0024,0.0855,-0.0220,-0.0513,-0.0220,-0.0073,0.0073,-0.2940,15.9521,-8.4171,-1.4823,-0.1001,-0.0220,-0.0024,1,1,1,1,1,1,1
0.4426,approach,2,to_lo,0.13867,0.03605,2.99172,-0.21763,0.04826,1.01339,-0.00744,-0.0024,0.0855,-0.0220,-0.0513,-0.0220,-0.0073,0.0073,-0.2940,15.9521,-8.4171,-1.4823,-0.1001,-0.0220,-0.0024,1,1,1,1,1,1,1
0.4825,approach,2,to_lo,0.13867,0.04406,2.99058,-0.21878,0.04826,1.01339,-0.00744,-0.0024,0.0757,-0.0171,-0.0073,-0.0073,-0.0073,0.0073,-0.3214,16.6496,-7.6923,-1.4286,-0.1050,-0.0220,-0.0073,1,1,1,1,1,1,1
0.5226,approach,2,to_lo,0.13867,0.04406,2.99058,-0.21878,0.04826,1.01339,-0.00744,-0.0024,0.0757,-0.0171,-0.0073,-0.0073,-0.0073,0.0073,-0.3214,16.6496,-7.6923,-1.4286,-0.1050,-0.0220,-0.0073,1,1,1,1,1,1,1
0.5626,approach,2,to_lo,0.13867,0.04406,2.99058,-0.21878,0.04826,1.01339,-0.00744,-0.0024,0.0757,-0.0171,-0.0073,-0.0073,-0.0073,0.0073,-0.3214,16.6496,-7.6923,-1.4286,-0.1050,-0.0220,-0.0073,1,1,1,1,1,1,1
0.6026,approach,2,to_lo,0.13867,0.05474,2.99020,-0.21954,0.04826,1.01339,-0.00744,-0.0024,0.0708,0.0024,0.0073,0.0073,0.0073,-0.0073,-0.3761,17.6068,-7.7607,-1.4286,-0.1294,-0.0220,-0.0122,1,1,1,1,1,1,1
0.6424,approach,2,to_lo,0.13867,0.05474,2.99020,-0.21954,0.04826,1.01339,-0.00744,-0.0024,0.0708,0.0024,0.0073,0.0073,0.0073,-0.0073,-0.3761,17.6068,-7.7607,-1.4286,-0.1294,-0.0220,-0.0122,1,1,1,1,1,1,1
0.6823,approach,2,to_lo,0.13867,0.06161,2.99020,-0.21992,0.04826,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4444,17.2513,-7.9385,-1.3944,-0.1392,-0.0220,-0.0122,1,1,1,1,1,1,1
0.7224,approach,2,to_lo,0.13867,0.06161,2.99020,-0.21992,0.04826,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4444,17.2513,-7.9385,-1.3944,-0.1392,-0.0220,-0.0122,1,1,1,1,1,1,1
0.7624,approach,2,to_lo,0.13867,0.06161,2.99020,-0.21992,0.04826,1.01339,-0.00744,-0.0073,0.0855,-0.0024,-0.0220,-0.0073,-0.0220,-0.0220,-0.4444,17.2513,-7.9385,-1.3944,-0.1392,-0.0220,-0.0122,1,1,1,1,1,1,1
0.8025,approach,2,to_lo,0.13867,0.06962,2.98905,-0.22068,0.04788,1.01339,-0.00744,-0.0024,0.0611,-0.0024,0.0073,-0.0220,-0.0220,-0.0073,-0.5812,18.0581,-7.1590,-1.3065,-0.1587,-0.0220,-0.0171,1,1,1,1,1,1,1
0.8423,approach,2,to_lo,0.13867,0.06962,2.98905,-0.22068,0.04788,1.01339,-0.00744,-0.0024,0.0611,-0.0024,0.0073,-0.0220,-0.0220,-0.0073,-0.5812,18.0581,-7.1590,-1.3065,-0.1587,-0.0220,-0.0171,1,1,1,1,1,1,1
0.8824,approach,2,to_lo,0.13867,0.07534,2.98905,-0.22030,0.04788,1.01301,-0.00744,-0.0024,0.0415,-0.0024,0.0220,0.0073,-0.0073,-0.0073,-0.6222,17.8120,-7.3368,-1.3260,-0.1441,-0.0220,-0.0171,1,1,1,1,1,1,1
0.9225,approach,2,to_lo,0.13867,0.07534,2.98905,-0.22030,0.04788,1.01301,-0.00744,-0.0024,0.0415,-0.0024,0.0220,0.0073,-0.0073,-0.0073,-0.6222,17.8120,-7.3368,-1.3260,-0.1441,-0.0220,-0.0171,1,1,1,1,1,1,1
0.9623,approach,2,to_lo,0.13867,0.07534,2.98905,-0.22030,0.04788,1.01301,-0.00744,-0.0024,0.0415,-0.0024,0.0220,0.0073,-0.0073,-0.0073,-0.6222,17.8120,-7.3368,-1.3260,-0.1441,-0.0220,-0.0171,1,1,1,1,1,1,1
1.0024,approach,2,to_lo,0.13867,0.08030,2.98905,-0.21916,0.04788,1.01339,-0.00744,-0.0024,0.0122,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.6769,19.7675,-7.6923,-1.4090,-0.1441,-0.0220,-0.0220,1,1,1,1,1,1,1
1.0423,approach,2,to_lo,0.13867,0.08030,2.98905,-0.21916,0.04788,1.01339,-0.00744,-0.0024,0.0122,-0.0024,0.0073,-0.0073,-0.0073,-0.0073,-0.6769,19.7675,-7.6923,-1.4090,-0.1441,-0.0220,-0.0220,1,1,1,1,1,1,1
1.0825,approach,2,to_lo,0.13867,0.08373,2.98905,-0.21801,0.04788,1.01301,-0.00744,-0.0024,0.0562,-0.0024,-0.0073,-0.0220,-0.0220,0.0073,-0.7316,20.8889,-7.9521,-1.5263,-0.1587,-0.0220,-0.0220,1,1,1,1,1,1,1
1.1224,approach,2,to_lo,0.13867,0.08373,2.98905,-0.21801,0.04788,1.01301,-0.00744,-0.0024,0.0562,-0.0024,-0.0073,-0.0220,-0.0220,0.0073,-0.7316,20.8889,-7.9521,-1.5263,-0.1587,-0.0220,-0.0220,1,1,1,1,1,1,1
1.1623,approach,2,to_lo,0.13867,0.08373,2.98905,-0.21801,0.04788,1.01301,-0.00744,-0.0024,0.0562,-0.0024,-0.0073,-0.0220,-0.0220,0.0073,-0.7316,20.8889,-7.9521,-1.5263,-0.1587,-0.0220,-0.0220,1,1,1,1,1,1,1
1.2024,approach,2,to_lo,0.13867,0.08984,2.98905,-0.21763,0.04788,1.01339,-0.00744,0.0024,0.0366,-0.0024,0.0073,-0.0073,-0.0073,0.0073,-0.8821,19.7538,-8.3077,-1.6288,-0.1587,-0.0220,-0.0269,1,1,1,1,1,1,1
1.2424,approach,2,to_lo,0.13867,0.08984,2.98905,-0.21763,0.04788,1.01339,-0.00744,0.0024,0.0366,-0.0024,0.0073,-0.0073,-0.0073,0.0073,-0.8821,19.7538,-8.3077,-1.6288,-0.1587,-0.0220,-0.0269,1,1,1,1,1,1,1
1.2823,approach,2,to_lo,0.13867,0.09327,2.98905,-0.21839,0.04788,1.01339,-0.00744,-0.0024,0.0220,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.9231,19.3709,-8.4855,-1.6386,-0.1636,-0.0220,-0.0269,1,1,1,1,1,1,1
1.3224,approach,2,to_lo,0.13867,0.09327,2.98905,-0.21839,0.04788,1.01339,-0.00744,-0.0024,0.0220,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.9231,19.3709,-8.4855,-1.6386,-0.1636,-0.0220,-0.0269,1,1,1,1,1,1,1
1.3625,approach,2,to_lo,0.13867,0.09327,2.98905,-0.21839,0.04788,1.01339,-0.00744,-0.0024,0.0220,0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.9231,19.3709,-8.4855,-1.6386,-0.1636,-0.0220,-0.0269,1,1,1,1,1,1,1
1.4024,approach,2,to_lo,0.13867,0.09556,2.98905,-0.21839,0.04788,1.01301,-0.00744,-0.0024,0.0073,-0.0024,-0.0073,0.0073,-0.0073,-0.0220,-1.0051,22.0239,-8.7863,-1.6923,-0.1587,-0.0220,-0.0269,1,1,1,1,1,1,1
1.4425,approach,2,to_lo,0.13867,0.09556,2.98905,-0.21839,0.04788,1.01301,-0.00744,-0.0024,0.0073,-0.0024,-0.0073,0.0073,-0.0073,-0.0220,-1.0051,22.0239,-8.7863,-1.6923,-0.1587,-0.0220,-0.0269,1,1,1,1,1,1,1
1.4825,approach,2,to_lo,0.13867,0.09823,2.98905,-0.21878,0.04749,1.01339,-0.00744,-0.0024,0.0415,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,-1.0051,21.5453,-8.9915,-1.6972,-0.1538,-0.0171,-0.0269,1,1,1,1,1,1,1
1.5226,approach,2,to_lo,0.13867,0.09823,2.98905,-0.21878,0.04749,1.01339,-0.00744,-0.0024,0.0415,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,-1.0051,21.5453,-8.9915,-1.6972,-0.1538,-0.0171,-0.0269,1,1,1,1,1,1,1
1.5623,approach,2,to_lo,0.13867,0.09823,2.98905,-0.21878,0.04749,1.01339,-0.00744,-0.0024,0.0415,-0.0024,-0.0220,0.0073,-0.0073,-0.0073,-1.0051,21.5453,-8.9915,-1.6972,-0.1538,-0.0171,-0.0269,1,1,1,1,1,1,1
1.6022,approach,2,to_lo,0.13867,0.10205,2.98867,-0.21954,0.04788,1.01339,-0.00744,-0.0024,0.0269,0.0024,-0.0073,0.0073,-0.0073,0.0073,-1.1009,20.7658,-8.7316,-1.6581,-0.1538,-0.0220,-0.0269,1,1,1,1,1,1,1
2.1049,sweep,2,+up,0.13867,0.10281,2.98867,-0.21916,0.04749,1.01339,-0.00744,-0.0024,0.0024,-0.0024,-0.0220,0.0073,-0.0220,0.0073,-1.1419,21.1897,-8.8410,-1.6972,-0.1538,-0.0171,-0.0269,1,1,1,1,1,1,1
